数据库：分省年度数据
指标：高岭土储量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,58.30,,,,,,,,,,,,,
河北省,58.30,58.30,58.30,58.30,58.30,58.30,160.20,58.30,58.30,58.30,58.30,,,,,,,,,
山西省,160.20,160.20,160.20,160.20,160.20,160.20,433.30,160.20,160.20,160.20,160.24,,,,,,,,,
内蒙古自治区,4813.18,4814.68,1085.36,433.12,433.18,433.20,,433.90,434.50,435.10,456.75,,,,,,,,,
辽宁省,536.93,536.93,525.00,525.00,525.00,525.00,525.00,525.00,618.30,618.30,618.34,,,,,,,,,
吉林省,47.90,48.55,49.08,49.66,50.38,50.90,51.58,52.10,52.50,62.70,62.70,,,,,,,,,
黑龙江省,,,,,,,,1214.52,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,148.99,167.65,700.52,727.78,749.44,771.30,1215.76,,1236.72,1258.17,1279.82,,,,,,,,,
浙江省,830.02,840.34,803.42,768.08,750.87,723.90,667.60,534.80,535.00,535.20,538.70,,,,,,,,,
安徽省,176.51,166.03,155.81,158.17,303.37,234.00,222.35,369.28,349.10,349.80,361.30,,,,,,,,,
福建省,5363.15,5366.30,5528.72,5585.69,5608.66,5628.10,5681.80,5745.86,5787.19,5818.20,5897.34,,,,,,,,,
江西省,2975.75,3176.96,3127.78,3138.62,3137.89,3309.50,3296.75,3539.20,4039.10,3957.60,4453.30,,,,,,,,,
山东省,314.08,335.98,366.30,418.82,533.96,564.10,528.35,540.84,607.15,,,,,,,,,,,
河南省,,4.70,22.27,32.88,31.31,31.30,16.74,12.50,,,,,,,,,,,,
湖北省,418.37,460.43,460.43,465.93,467.03,419.90,420.53,1022.80,1033.00,1043.20,136.60,,,,,,,,,
湖南省,1986.07,2015.42,2021.23,2119.13,2109.18,2105.10,2113.13,2132.49,2590.10,2642.15,2714.57,,,,,,,,,
广东省,5396.73,5408.55,5455.93,5495.63,27853.43,27981.40,28103.33,27953.63,27992.60,28024.80,29940.20,,,,,,,,,
广西壮族自治区,31906.65,23605.60,15123.20,15174.70,18733.32,18185.00,18278.58,18526.85,15630.46,12818.57,6168.55,,,,,,,,,
海南省,1916.80,1917.60,1923.20,1872.60,1872.60,1872.60,1872.60,1896.80,1896.80,1896.90,1877.60,,,,,,,,,
重庆市,0.40,,9.00,9.00,,,,,,,,,,,,,,,,
四川省,56.10,56.10,56.10,71.87,71.87,56.10,56.10,56.10,56.10,56.10,56.10,,,,,,,,,
贵州省,15.00,16.05,16.05,16.05,11.45,10.40,10.40,10.40,10.40,10.40,10.40,,,,,,,,,
云南省,311.10,402.30,402.30,402.30,390.70,391.70,392.90,395.20,399.10,399.10,400.10,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,81.10,81.10,81.10,81.10,81.10,81.10,81.10,81.10,81.10,81.10,81.10,,,,,,,,,
甘肃省,,,,,,0.00,,,,,,,,,,,,,,
青海省,,,,,,0.00,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,7.84,9.93,12.16,,,,,,,,,,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
