数据库：分省年度数据
指标：铁矿储量(亿吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1.33,1.34,1.24,0.86,0.89,3.00,3.08,3.13,3.17,3.43,3.28,2.99,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,28.54,23.97,24.23,26.73,37.49,35.70,43.65,42.40,42.51,42.07,39.89,40.30,,,,,,,,
山西省,16.92,12.70,12.82,13.40,12.13,5.80,5.92,6.03,6.15,6.21,6.28,6.36,,,,,,,,
内蒙古自治区,25.32,20.99,15.58,13.57,12.12,15.80,14.59,13.83,12.96,12.71,13.61,12.13,,,,,,,,
辽宁省,51.67,56.25,54.98,52.06,75.46,70.20,69.87,69.79,70.16,64.65,63.19,61.02,,,,,,,,
吉林省,4.67,4.52,3.82,2.44,2.31,2.40,1.82,1.54,1.33,1.59,1.77,1.84,,,,,,,,
黑龙江省,0.35,0.35,0.35,0.35,0.42,0.40,0.47,0.54,0.54,0.53,0.53,0.53,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,1.72,1.76,1.78,1.83,1.72,1.80,1.84,1.87,1.91,1.97,2.27,2.37,,,,,,,,
浙江省,0.54,0.31,0.31,0.39,0.16,0.20,0.13,0.13,0.15,0.11,0.12,0.13,,,,,,,,
安徽省,8.75,7.90,8.39,8.41,8.19,7.30,10.13,8.78,8.82,9.07,11.72,11.62,,,,,,,,
福建省,3.24,3.24,3.56,3.61,3.54,3.60,3.60,3.65,3.68,3.72,3.70,3.71,,,,,,,,
江西省,1.47,1.37,1.46,1.57,1.91,1.70,1.81,1.90,1.93,1.71,1.14,1.16,,,,,,,,
山东省,9.06,9.37,8.90,9.02,10.31,9.70,10.27,9.60,9.86,10.10,10.56,8.74,,,,,,,,
河南省,1.36,1.41,1.56,2.19,1.65,1.70,1.79,1.25,0.91,0.93,1.98,1.95,,,,,,,,
湖北省,4.51,6.05,5.83,5.92,3.73,3.90,3.82,4.16,4.29,4.68,5.03,5.16,,,,,,,,
湖南省,1.78,1.79,1.29,1.48,1.63,1.60,1.52,1.47,1.44,1.47,1.30,0.76,,,,,,,,
广东省,1.00,1.06,1.08,1.12,1.59,1.20,1.44,1.82,1.87,1.94,2.12,2.17,,,,,,,,
广西壮族自治区,0.29,0.30,0.29,0.29,1.10,1.10,1.10,1.00,0.99,0.99,0.99,0.99,,,,,,,,
海南省,0.90,0.95,0.81,0.73,1.04,0.30,0.29,0.32,0.36,0.39,0.39,0.45,,,,,,,,
重庆市,0.13,0.22,0.22,0.15,0.01,,0.01,0.01,0.01,,,0.01,,,,,,,,
四川省,25.92,26.60,29.66,29.15,28.73,28.90,28.96,30.79,31.40,31.13,31.09,31.22,,,,,,,,
贵州省,0.13,0.13,0.13,0.14,0.51,0.50,0.51,0.52,0.53,0.54,0.53,0.54,,,,,,,,
云南省,4.18,4.13,4.29,3.76,3.82,4.20,4.39,4.44,4.48,4.50,4.55,4.65,,,,,,,,
西藏自治区,0.17,0.17,0.17,0.17,0.27,0.30,0.27,0.27,0.27,0.27,0.27,0.27,,,,,,,,
陕西省,3.98,3.99,3.85,3.87,4.04,4.10,4.05,4.08,4.11,4.13,4.20,4.16,,,,,,,,
甘肃省,3.39,3.71,3.84,5.47,3.91,3.90,7.46,7.37,3.97,4.03,4.11,4.14,,,,,,,,
青海省,0.03,0.03,0.06,0.06,0.07,0.10,0.06,0.06,0.07,0.07,0.07,0.09,,,,,,,,
宁夏回族自治区,,,,,,,0.01,0.01,0.01,,,,,,,,,,,
新疆维吾尔自治区,5.21,4.56,4.27,4.02,3.57,3.60,3.54,2.88,3.04,3.08,2.86,2.89,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
