数据库：分省年度数据
指标：原生钛铁矿储量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,7.10,7.05,7.19,6.30,6.34,6.34,,,,,,,,,
天津市,,,,,,,,,,,547.65,,,,,,,,,
河北省,283.68,283.68,290.07,294.42,361.05,373.40,478.30,499.34,528.60,547.60,,,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,786.87,686.69,645.79,654.42,99.67,99.50,,,,,,,,,,,,,,
河南省,0.46,0.51,0.52,0.52,0.46,0.50,,,,,,,,,,,,,,
湖北省,1053.23,1053.23,1053.23,1053.23,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,2.69,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,19438.13,19887.19,19049.87,22536.21,22534.64,22763.30,22761.45,21987.38,20796.10,20807.76,20782.28,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,3.12,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,45.73,45.73,46.05,46.60,47.14,47.60,47.70,47.99,48.40,48.70,48.78,,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
