数据库：分省年度数据
指标：地下水供水总量(亿立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,19.56,20.04,20.38,20.90,21.19,21.80,22.94,24.19,24.34,24.90,26.79,,,,,,,,,
天津市,5.34,5.69,5.48,5.82,5.87,6.01,6.25,6.81,6.76,6.98,7.07,,,,,,,,,
河北省,142.07,144.57,151.25,154.85,155.98,154.64,156.17,163.08,164.64,162.78,157.75,,,,,,,,,
山西省,35.12,36.07,38.79,38.58,34.49,32.95,35.08,36.23,37.74,34.75,34.98,,,,,,,,,
内蒙古自治区,90.78,88.90,93.00,92.49,88.63,87.49,86.37,87.95,87.76,86.19,85.51,,,,,,,,,
辽宁省,58.44,60.00,61.31,64.32,67.58,67.35,66.58,67.17,67.01,64.27,65.00,,,,,,,,,
吉林省,44.90,44.04,43.34,43.72,44.17,42.51,40.61,38.75,38.03,36.84,38.96,,,,,,,,,
黑龙江省,167.59,167.38,161.52,149.87,146.14,136.04,127.38,124.63,114.37,113.08,103.95,,,,,,,,,
上海市,0.06,0.08,0.11,0.14,0.20,0.26,0.32,0.40,0.57,0.75,0.88,,,,,,,,,
江苏省,9.69,9.33,9.83,10.07,8.67,8.83,9.67,9.88,10.72,10.83,10.48,,,,,,,,,
浙江省,2.19,2.52,3.34,4.15,4.33,4.96,5.30,5.65,6.42,6.65,7.10,,,,,,,,,
安徽省,30.31,33.41,34.36,33.40,26.61,26.10,23.50,19.92,17.87,17.85,19.89,,,,,,,,,
福建省,6.47,6.49,6.62,5.02,4.65,4.80,4.99,5.24,6.02,6.37,6.70,,,,,,,,,
江西省,9.08,9.53,9.36,10.16,9.91,10.37,10.49,10.73,8.49,7.96,7.87,,,,,,,,,
山东省,85.99,86.86,89.25,89.34,91.31,97.04,101.23,101.98,104.20,102.67,107.40,,,,,,,,,
河南省,119.38,138.78,137.22,131.31,135.14,138.99,134.40,125.46,136.45,125.49,119.30,,,,,,,,,
湖北省,9.24,9.17,10.14,9.66,9.03,8.83,8.43,8.43,9.13,8.24,7.84,,,,,,,,,
湖南省,17.83,17.66,18.46,17.43,21.11,20.56,19.96,19.57,18.73,18.96,19.72,,,,,,,,,
广东省,15.35,15.90,17.02,19.39,21.28,20.95,21.10,21.22,21.23,21.05,21.52,,,,,,,,,
广西壮族自治区,11.58,11.60,11.01,10.82,11.15,11.61,11.45,13.53,13.11,12.04,11.54,,,,,,,,,
海南省,3.02,3.12,3.29,3.30,3.31,3.45,3.60,3.82,4.06,3.97,5.15,,,,,,,,,
重庆市,1.50,1.56,1.64,1.78,1.77,1.76,1.87,1.85,2.10,1.60,1.71,,,,,,,,,
四川省,17.29,16.38,18.61,18.12,16.88,16.40,14.38,15.91,16.79,17.05,12.76,,,,,,,,,
贵州省,2.79,1.92,1.10,1.10,7.20,6.98,7.90,6.21,7.34,5.58,8.08,,,,,,,,,
云南省,5.78,4.80,5.36,4.83,4.79,4.32,5.06,5.43,6.15,6.06,5.91,,,,,,,,,
西藏自治区,3.77,3.48,3.49,2.82,2.77,2.58,2.55,2.31,2.52,1.93,1.52,,,,,,,,,
陕西省,33.30,33.50,33.42,32.71,33.34,33.09,34.35,33.43,34.82,33.49,32.86,,,,,,,,,
甘肃省,28.11,29.43,25.73,24.42,24.24,23.98,27.71,28.78,28.46,29.54,28.17,,,,,,,,,
青海省,3.58,3.78,3.47,5.28,5.03,4.71,10.14,7.65,7.54,6.96,7.00,,,,,,,,,
宁夏回族自治区,5.47,5.56,5.46,5.59,5.42,5.21,5.14,5.06,5.04,5.35,5.36,,,,,,,,,
新疆维吾尔自治区,131.36,114.68,110.89,97.75,95.15,89.96,79.87,67.78,57.10,58.64,57.52,,,,,,,,,
数据来源：国家统计局
