数据库：分省年度数据
指标：发生地面塌陷灾害起数(次)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,5,2,3,2,,2,,,,2,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,4,6,3,6,2,5,9,12,4,9,,,,,,,,,
山西省,,4,2,4,1,2,4,8,17,,34,,,,,,,,,
内蒙古自治区,,,1,5,14,12,11,16,22,,31,,,,,,,,,
辽宁省,,4,32,4,11,11,3,3,10,13,5,,,,,,,,,
吉林省,,4,1,1,9,2,,,1,1,17,,,,,,,,,
黑龙江省,,,,,1,2,,3,1,1,1,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,2,3,1,1,5,,3,4,2,7,,,,,,,,,
浙江省,,2,5,4,4,,,,2,4,,,,,,,,,,
安徽省,,3,10,7,15,13,16,21,13,14,8,,,,,,,,,
福建省,,,4,,5,2,2,3,21,7,4,,,,,,,,,
江西省,,24,29,26,34,18,32,12,122,,15,,,,,,,,,
山东省,,10,11,11,27,20,11,15,15,20,26,,,,,,,,,
河南省,,25,26,26,17,21,,8,15,1,32,,,,,,,,,
湖北省,,30,35,39,32,29,48,28,12,24,32,,,,,,,,,
湖南省,,43,56,78,98,54,131,81,33,,6,,,,,,,,,
广东省,,42,20,18,18,26,26,19,9,30,28,,,,,,,,,
广西壮族自治区,,47,49,56,53,39,75,33,40,,28,,,,,,,,,
海南省,,,,2,3,,1,,1,,,,,,,,,,,
重庆市,,24,10,11,13,11,8,44,5,2,26,,,,,,,,,
四川省,,9,11,15,18,17,25,138,6,4,24,,,,,,,,,
贵州省,,9,10,9,54,14,23,38,11,3,39,,,,,,,,,
云南省,,9,33,4,11,10,8,23,1,,45,,,,,,,,,
西藏自治区,,,,,7,2,9,1,,,4,,,,,,,,,
陕西省,,12,2,53,18,10,8,52,,3,17,,,,,,,,,
甘肃省,,69,5,5,5,3,1,14,16,,1,,,,,,,,,
青海省,,,,,,,,1,3,,,,,,,,,,,
宁夏回族自治区,,3,,1,,1,,,,1,,,,,,,,,,
新疆维吾尔自治区,,1,1,,1,,5,5,6,3,4,,,,,,,,,
数据来源：国家统计局
