数据库：分省年度数据
指标：地质灾害直接经济损失(万元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,44,,4,,,20,,,,88,,,,,,,,,
天津市,,,,,,,,,,,50,,,,,,,,,
河北省,,113,430,2201,341,84,95,287,404,185,669,,,,,,,,,
山西省,,769,345,1472,817,491,1352,1422,1099,,5479,,,,,,,,,
内蒙古自治区,,100,612,810,1640,1960,2400,3200,4430,100,3705,,,,,,,,,
辽宁省,,30913,235235,10081,28109,1733,20,736,574,27504,5792,,,,,,,,,
吉林省,,1799,429,151,75087,295,359,1,159,2304,6808,,,,,,,,,
黑龙江省,,600,,1,1,,203,23,3,409,113,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,1190,642,2556,3126,628,432,4555,229,140,1045,,,,,,,,,
浙江省,,3830,11361,3550,8938,6584,690,2006,4301,8500,6182,,,,,,,,,
安徽省,,2248,4601,1570,2537,2179,8753,7485,3714,96800,3658,,,,,,,,,
福建省,,1981,364,1949,37209,1234,900,2710,166612,34844,1601,,,,,,,,,
江西省,,1395,3035,4077,53966,1861,1620,1397,6876,138,421,,,,,,,,,
山东省,,19,591,162,397,662,697,60,45,131,299,,,,,,,,,
河南省,,135,898,13959,11165,162,18,336,825,75,5116,,,,,,,,,
湖北省,,6511,9275,23647,34176,12312,7626,26652,66620,26320,15370,,,,,,,,,
湖南省,,16322,41697,24648,49843,43933,56800,32228,47335,900,44751,,,,,,,,,
广东省,,20516,4308,2745,22732,8710,10875,10813,70745,58747,5590,,,,,,,,,
广西壮族自治区,,2918,10044,1083,4932,3856,6190,3016,12884,756,4176,,,,,,,,,
海南省,,24,13,684,3732,31,446,20,130,15,,,,,,,,,,
重庆市,,6495,13571,6400,3273,18783,53088,41289,4881,6718,54719,,,,,,,,,
四川省,,189587,125017,191824,90067,31904,16844,61748,10596,39075,29420,,,,,,,,,
贵州省,,7704,5564,12825,10222,10650,3206,5567,4905,1191,4517,,,,,,,,,
云南省,,51672,29282,27565,30760,13118,109679,27522,8335,44877,199086,,,,,,,,,
西藏自治区,,16611,2459,5237,33170,13076,1496,2953,441,20,3836,,,,,,,,,
陕西省,,9011,6516,21864,96050,3811,5035,3087,843,3484,971,,,,,,,,,
甘肃省,,667296,15241,51428,22878,11237,37327,4306,13872,3435,4085,,,,,,,,,
青海省,,668,55,78,1233,714,394,3786,252,615,571,,,,,,,,,
宁夏回族自治区,,2800,28,350,,,5,10,,10,101,,,,,,,,,
新疆维吾尔自治区,,298,103639,203,12107,101,364,314,483,384,609,,,,,,,,,
数据来源：国家统计局
