数据库：分省年度数据
指标：生活垃圾焚烧无害化处理量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,156.1,97.8,94.7,94.5,89.1,68.7,15.7,1.0,9.8,7.4,7.1,,,,,,,,,
天津市,106.6,81.3,82.3,69.3,58.3,51.2,49.4,40.7,40.1,29.3,,,,,,,,,,
河北省,150.5,95.2,114.3,92.2,58.9,14.1,43.1,42.3,42.3,28.8,14.6,,,,,,,,,
山西省,117.5,135.5,105.3,54.3,52.3,33.2,19.5,18.0,45.7,,,,,,,,,,,
内蒙古自治区,24.5,23.0,,,,,,,,0.1,0.1,,,,,,,,,
辽宁省,70.6,63.5,29.6,,,14.6,14.6,14.6,14.6,14.6,14.8,,,,,,,,,
吉林省,96.2,87.7,56.4,44.9,49.9,34.6,16.4,16.4,14.9,16.3,19.1,,,,,,,,,
黑龙江省,12.3,9.7,9.2,9.4,16.6,15.7,8.7,,,4.0,9.3,,,,,,,,,
上海市,238.5,170.0,103.6,59.2,108.1,106.1,112.7,108.0,114.5,102.4,68.6,,,,,,,,,
江苏省,871.6,738.3,667.6,547.8,458.7,387.1,204.5,203.0,113.8,42.7,17.9,,,,,,,,,
浙江省,768.6,646.0,574.5,468.0,437.8,404.9,310.7,266.1,280.0,197.6,129.4,,,,,,,,,
安徽省,129.5,103.6,88.1,60.4,49.9,33.2,10.6,10.5,10.5,10.2,10.3,,,,,,,,,
福建省,376.9,335.8,218.0,146.4,142.0,128.9,146.2,136.3,63.2,28.9,9.8,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,386.9,435.5,295.9,148.9,131.4,110.6,88.9,67.1,,12.8,4.9,,,,,,,,,
河南省,137.3,117.6,91.0,70.7,65.7,31.7,30.8,30.8,47.1,49.0,8.5,,,,,,,,,
湖北省,344.2,342.1,210.2,133.7,18.4,,,,,,,,,,,,,,,
湖南省,30.6,23.1,22.7,,,,,,,,,,,,,,,,,
广东省,661.7,569.9,494.7,326.4,366.4,411.4,406.2,389.6,269.8,174.9,94.0,,,,,,,,,
广西壮族自治区,12.0,9.8,7.6,10.4,10.5,12.9,25.5,18.5,18.4,11.3,12.3,,,,,,,,,
海南省,61.6,63.4,61.6,6.1,4.8,4.0,3.0,4.5,4.0,0.7,0.4,,,,,,,,,
重庆市,135.2,113.4,95.0,62.8,37.4,42.5,36.4,54.1,42.6,26.2,,,,,,,,,,
四川省,249.7,200.8,17.1,70.9,80.8,72.3,25.6,11.7,5.5,30.4,25.3,,,,,,,,,
贵州省,,,,,,,,,,0.5,1.0,,,,,,,,,
云南省,191.2,170.8,144.7,123.2,77.7,42.3,,,,2.9,1.4,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,2.2,2.0,1.3,1.6,0.8,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,0.3,,,,,,,,,
数据来源：国家统计局
