数据库：分省年度数据
指标：生活垃圾焚烧无害化处理厂数(座)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3,4,3,2,2,1,1,1,2,2,2,,,,,,,,,
天津市,4,4,3,3,2,2,2,2,1,1,,,,,,,,,,
河北省,7,3,4,4,4,1,2,2,2,2,1,,,,,,,,,
山西省,5,5,4,3,3,3,1,2,2,1,1,,,,,,,,,
内蒙古自治区,1,1,,,,,,,,,,,,,,,,,,
辽宁省,2,2,1,,,1,1,1,1,1,1,,,,,,,,,
吉林省,3,3,3,2,2,2,1,1,1,2,2,,,,,,,,,
黑龙江省,3,2,2,2,2,2,2,,,4,2,,,,,,,,,
上海市,5,4,2,1,3,3,3,2,2,2,2,,,,,,,,,
江苏省,28,22,21,21,14,14,8,9,9,5,4,,,,,,,,,
浙江省,32,30,26,21,22,21,16,14,17,14,11,,,,,,,,,
安徽省,6,5,4,4,3,1,1,1,1,1,1,,,,,,,,,
福建省,13,13,12,8,6,5,5,4,6,2,1,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,16,13,9,7,8,6,3,3,,1,3,,,,,,,,,
河南省,4,4,3,2,2,2,2,2,3,2,3,,,,,,,,,
湖北省,11,10,7,4,1,,,,,,,,,,,,,,,
湖南省,2,1,1,,,,,,,,,,,,,,,,,
广东省,21,21,18,14,16,17,16,15,15,14,7,,,,,,,,,
广西壮族自治区,2,2,2,2,3,2,3,2,2,2,2,,,,,,,,,
海南省,3,3,3,1,1,1,1,1,1,1,1,,,,,,,,,
重庆市,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,
四川省,8,6,3,4,5,5,4,2,2,6,7,,,,,,,,,
贵州省,,,,,,,,,,1,1,,,,,,,,,
云南省,7,6,5,3,3,2,,,,1,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,1,1,1,1,1,1,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,2,,,,,,,,,
数据来源：国家统计局
