数据库：分省年度数据
指标：生活垃圾堆肥无害化处理能力(吨/日)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,2400,800,600,900,600,600,600,,,,,,,,,
天津市,,,,,,,,,,,1890,,,,,,,,,
河北省,,,,,,1400,1400,1850,1850,2050,2550,,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,800,800,,800,800,50,50,,,,,,,,,
辽宁省,,,,,600,600,600,1250,1550,1700,900,,,,,,,,,
吉林省,,,,,,,,,,,300,,,,,,,,,
黑龙江省,,,,,,,,,,15,15,,,,,,,,,
上海市,,,,,520,500,1000,1500,1500,1000,1000,,,,,,,,,
江苏省,,,,,,,,,,,570,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,170,,,,,,,,,
福建省,,,,,,116,116,3,116,546,441,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,,,,660,,,,980,1802,,,,,,,,,
河南省,,,,,400,983,270,784,570,1645,2025,,,,,,,,,
湖北省,,,,,,120,,,1200,570,250,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,400,400,600,400,920,670,700,,,,,,,,,
海南省,,,,,,,,,,133,554,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,200,,400,1340,1050,,,,,,,,,
贵州省,,,,,,,,,,250,250,,,,,,,,,
云南省,,,,,360,,,403,,218,210,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,600,600,,,,20,,,,,,,,,
数据来源：国家统计局
