数据库：分省年度数据
指标：治理固体废物项目完成投资(万元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,408,,1011,104,,,1,1151,1040,959,3371,,,,,,,,,
天津市,,,1301,33245,1226,546,1002,1750,148,4328,1560,,,,,,,,,
河北省,2324,513,86,7766,2,,334,2539,303,36208,4434,,,,,,,,,
山西省,12587,22519,40201,28718,30135,19687,27641,12595,17793,11866,12080,,,,,,,,,
内蒙古自治区,17731,27484,18197,17299,1987,10194,532,6932,517,1332,245,,,,,,,,,
辽宁省,2350,1426,2354,2869,804,1519,3834,11201,3026,4166,798,,,,,,,,,
吉林省,928,988,1095,815,4871,435,,432,758,5104,1867,,,,,,,,,
黑龙江省,1290,1193,2501,694,,755,1192,5538,736,2097,3240,,,,,,,,,
上海市,8,216,432,60,27,11178,11002,11,31376,16,423,,,,,,,,,
江苏省,411,16534,12989,13905,8964,3363,13116,12196,2321,1966,5337,,,,,,,,,
浙江省,3157,547,1457,2233,2746,16756,3188,1942,1694,1784,1110,,,,,,,,,
安徽省,2008,102,2335,2074,,80,2121,546,2194,2902,881,,,,,,,,,
福建省,8699,7700,7576,10482,7704,9433,1800,3240,13924,19324,20365,,,,,,,,,
江西省,745,462,1624,4745,48,3781,1954,1411,1131,3140,1398,,,,,,,,,
山东省,8365,2775,35350,53923,15288,28791,36753,25700,20173,77997,77454,,,,,,,,,
河南省,140,22011,3952,5374,856,5687,14378,7668,16628,24178,14841,,,,,,,,,
湖北省,2752,1700,1476,10086,9580,5970,3936,2004,10241,11408,1890,,,,,,,,,
湖南省,3605,3764,4157,8853,11222,5375,6901,6676,4756,9539,8480,,,,,,,,,
广东省,4619,2725,17348,7973,4622,11197,3515,11430,11011,16817,17073,,,,,,,,,
广西壮族自治区,17201,540,8782,3242,17024,7090,3714,16012,1690,1849,665,,,,,,,,,
海南省,,,180,1218,52,,,,187,207,262,,,,,,,,,
重庆市,4296,,1471,14281,3189,590,4476,4233,833,9826,1001,,,,,,,,,
四川省,1689,1407,2892,3656,1405,6840,10196,8368,3215,7099,11538,,,,,,,,,
贵州省,665,198,2363,56023,6298,35267,9767,9141,10365,7816,11094,,,,,,,,,
云南省,33521,8768,5733,12016,6302,13399,21630,7501,9944,8260,16166,,,,,,,,,
西藏自治区,260,845,615,380,,,,,,,,,,,,,,,,
陕西省,2306,2300,11406,5583,1950,6676,2899,8779,3148,1317,1095,,,,,,,,,
甘肃省,230,400,53499,389,5593,13314,8044,8250,7183,1404,2159,,,,,,,,,
青海省,3328,,1514,5705,,,478,,,12,6,,,,,,,,,
宁夏回族自治区,14840,5176,3601,166,,15,483,3610,3715,890,2877,,,,,,,,,
新疆维吾尔自治区,42,8187,,,800,600,1964,1676,2582,371,2756,,,,,,,,,
数据来源：国家统计局
