数据库：分省年度数据
指标：工业污染治理本年竣工项目数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,59,46,56,154,160,168,142,116,,,,,,,,,
天津市,,,,99,99,174,192,188,151,178,194,,,,,,,,,
河北省,,,,280,150,226,338,421,399,468,405,,,,,,,,,
山西省,,,,424,599,707,1032,965,729,583,648,,,,,,,,,
内蒙古自治区,,,,136,156,247,186,143,188,63,83,,,,,,,,,
辽宁省,,,,123,84,132,185,230,289,277,235,,,,,,,,,
吉林省,,,,88,89,95,136,176,138,206,263,,,,,,,,,
黑龙江省,,,,50,49,117,123,198,117,79,160,,,,,,,,,
上海市,,,,93,156,237,230,203,185,282,193,,,,,,,,,
江苏省,,,,660,361,600,761,731,574,674,718,,,,,,,,,
浙江省,,,,712,577,654,902,1071,743,709,665,,,,,,,,,
安徽省,,,,158,55,212,158,261,237,210,216,,,,,,,,,
福建省,,,,233,628,435,608,666,583,704,648,,,,,,,,,
江西省,,,,176,103,110,223,209,219,145,157,,,,,,,,,
山东省,,,,770,399,644,962,1109,1083,1099,952,,,,,,,,,
河南省,,,,286,169,329,430,511,673,589,612,,,,,,,,,
湖北省,,,,149,195,273,345,442,403,428,329,,,,,,,,,
湖南省,,,,196,167,286,375,543,426,479,435,,,,,,,,,
广东省,,,,690,613,883,1175,1610,1223,1071,1248,,,,,,,,,
广西壮族自治区,,,,198,166,223,524,367,353,307,285,,,,,,,,,
海南省,,,,44,14,14,28,28,39,18,27,,,,,,,,,
重庆市,,,,169,89,118,170,260,287,110,165,,,,,,,,,
四川省,,,,274,154,307,540,616,720,929,1131,,,,,,,,,
贵州省,,,,129,97,197,256,190,700,360,257,,,,,,,,,
云南省,,,,388,334,381,416,425,512,350,402,,,,,,,,,
西藏自治区,,,,4,,,,3,1,,,,,,,,,,,
陕西省,,,,165,124,186,192,237,275,293,330,,,,,,,,,
甘肃省,,,,88,120,154,246,302,302,165,171,,,,,,,,,
青海省,,,,35,11,28,33,21,21,18,18,,,,,,,,,
宁夏回族自治区,,,,65,14,84,100,138,101,69,117,,,,,,,,,
新疆维吾尔自治区,,,,64,48,127,164,123,133,153,110,,,,,,,,,
数据来源：国家统计局
