数据库：分省年度数据
指标：氮氧化物排放量(吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,150955.14,166329.12,177493.41,188324.89,,,,,,,,,,,,,,,,
天津市,282300.00,311719.26,334222.59,358900.00,,,,,,,,,,,,,,,,
河北省,1512468.92,1652467.63,1761109.58,1801138.33,,,,,,,,,,,,,,,,
山西省,1069859.77,1157804.22,1243969.91,1286019.27,,,,,,,,,,,,,,,,
内蒙古自治区,1258281.03,1377573.10,1418897.36,1421896.56,,,,,,,,,,,,,,,,
辽宁省,901964.07,955381.40,1036321.95,1062816.92,,,,,,,,,,,,,,,,
吉林省,549246.84,560518.74,575851.78,604716.00,,,,,,,,,,,,,,,,
黑龙江省,730584.86,751588.31,780611.37,783753.04,,,,,,,,,,,,,,,,
上海市,332790.47,380354.61,401617.86,435400.10,,,,,,,,,,,,,,,,
江苏省,1232552.49,1338040.44,1479608.69,1535740.10,,,,,,,,,,,,,,,,
浙江省,687850.05,752976.23,808848.79,859050.64,,,,,,,,,,,,,,,,
安徽省,807304.79,863668.62,921267.88,959113.57,,,,,,,,,,,,,,,,
福建省,411661.50,438344.09,467210.98,494507.00,,,,,,,,,,,,,,,,
江西省,540114.93,570408.06,577095.16,612341.10,,,,,,,,,,,,,,,,
山东省,1593310.72,1651327.58,1738973.30,1790252.61,,,,,,,,,,,,,,,,
河南省,1422013.46,1565643.40,1625897.69,1665363.29,,,,,,,,,,,,,,,,
湖北省,580221.62,612392.26,640007.89,669649.90,,,,,,,,,,,,,,,,
湖南省,552773.06,588160.68,607213.80,666368.32,,,,,,,,,,,,,,,,
广东省,1122111.74,1204239.38,1303428.77,1388220.35,,,,,,,,,,,,,,,,
广西壮族自治区,442398.76,504306.91,498255.64,494007.65,,,,,,,,,,,,,,,,
海南省,95001.90,100248.59,103392.33,95385.19,,,,,,,,,,,,,,,,
重庆市,355017.97,362042.51,382670.54,402621.01,,,,,,,,,,,,,,,,
四川省,585438.61,624313.95,659004.69,674853.20,,,,,,,,,,,,,,,,
贵州省,491070.70,557292.49,563538.70,553185.55,,,,,,,,,,,,,,,,
云南省,498879.94,523672.47,544346.30,548517.77,,,,,,,,,,,,,,,,
西藏自治区,48343.52,44327.60,44307.90,40622.53,,,,,,,,,,,,,,,,
陕西省,705755.99,758897.78,808128.82,831749.33,,,,,,,,,,,,,,,,
甘肃省,418399.80,442925.65,473381.80,480855.11,,,,,,,,,,,,,,,,
青海省,134518.07,132256.10,126058.73,124115.63,,,,,,,,,,,,,,,,
宁夏回族自治区,404032.35,437439.67,455404.94,458170.19,,,,,,,,,,,,,,,,
新疆维吾尔自治区,862792.27,886926.57,819477.30,755089.75,,,,,,,,,,,,,,,,
数据来源：国家统计局
