数据库：分省年度数据
指标：铅排放量(千克)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,41.21,201.00,215.91,186.18,,,,,,,,,,,,,,,,
天津市,95.55,100.97,1004.64,1459.38,,,,,,,,,,,,,,,,
河北省,321.68,346.60,377.78,566.47,,,,,,,,,,,,,,,,
山西省,299.28,191.68,453.60,662.70,,,,,,,,,,,,,,,,
内蒙古自治区,7057.93,3746.86,3050.00,3086.67,,,,,,,,,,,,,,,,
辽宁省,130.52,247.00,557.17,981.99,,,,,,,,,,,,,,,,
吉林省,165.14,161.59,198.86,267.82,,,,,,,,,,,,,,,,
黑龙江省,44.03,39.20,31.02,37.92,,,,,,,,,,,,,,,,
上海市,131.60,173.65,321.25,175.54,,,,,,,,,,,,,,,,
江苏省,1204.07,1128.66,2322.94,3608.48,,,,,,,,,,,,,,,,
浙江省,454.26,555.28,498.08,568.36,,,,,,,,,,,,,,,,
安徽省,1345.40,1550.01,1737.49,3026.06,,,,,,,,,,,,,,,,
福建省,3727.20,3116.99,3093.01,5104.45,,,,,,,,,,,,,,,,
江西省,6145.28,5716.51,6750.38,9401.57,,,,,,,,,,,,,,,,
山东省,876.63,913.58,735.67,1096.55,,,,,,,,,,,,,,,,
河南省,3137.96,4054.85,4670.35,7140.81,,,,,,,,,,,,,,,,
湖北省,5881.76,2624.34,3292.28,4166.79,,,,,,,,,,,,,,,,
湖南省,21609.34,24318.56,38607.28,42466.48,,,,,,,,,,,,,,,,
广东省,2277.91,2564.63,4855.07,11512.20,,,,,,,,,,,,,,,,
广西壮族自治区,5009.33,6301.88,5418.37,15639.60,,,,,,,,,,,,,,,,
海南省,2.51,5.91,15.81,32.51,,,,,,,,,,,,,,,,
重庆市,112.73,95.20,88.43,188.00,,,,,,,,,,,,,,,,
四川省,1208.83,1137.28,1645.74,1760.57,,,,,,,,,,,,,,,,
贵州省,396.62,265.71,289.03,536.74,,,,,,,,,,,,,,,,
云南省,4846.39,6248.39,8916.18,27946.59,,,,,,,,,,,,,,,,
西藏自治区,5.03,2.57,3.22,0.23,,,,,,,,,,,,,,,,
陕西省,1426.11,1449.26,1692.93,4241.88,,,,,,,,,,,,,,,,
甘肃省,4382.16,8068.40,6792.72,6884.83,,,,,,,,,,,,,,,,
青海省,692.69,631.29,724.78,1120.04,,,,,,,,,,,,,,,,
宁夏回族自治区,30.52,19.09,92.12,110.83,,,,,,,,,,,,,,,,
新疆维吾尔自治区,125.08,135.03,906.69,1263.80,,,,,,,,,,,,,,,,
数据来源：国家统计局
