数据库：分省年度数据
指标：汞排放量(千克)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.10,0.64,0.49,1.72,,,,,,,,,,,,,,,,
天津市,5.38,5.73,3.74,1.09,,,,,,,,,,,,,,,,
河北省,2.46,3.63,4.99,4.56,,,,,,,,,,,,,,,,
山西省,42.80,11.32,5.83,5.11,,,,,,,,,,,,,,,,
内蒙古自治区,44.02,94.22,77.04,43.48,,,,,,,,,,,,,,,,
辽宁省,6.75,12.77,10.78,10.50,,,,,,,,,,,,,,,,
吉林省,6.33,5.89,5.41,7.71,,,,,,,,,,,,,,,,
黑龙江省,1.61,1.72,1.57,1.69,,,,,,,,,,,,,,,,
上海市,8.24,11.81,4.00,3.39,,,,,,,,,,,,,,,,
江苏省,3.89,15.82,113.94,98.04,,,,,,,,,,,,,,,,
浙江省,6.48,7.42,10.44,8.27,,,,,,,,,,,,,,,,
安徽省,6.45,7.58,9.01,9.62,,,,,,,,,,,,,,,,
福建省,12.57,14.29,27.47,54.95,,,,,,,,,,,,,,,,
江西省,74.80,79.45,95.55,1537.11,,,,,,,,,,,,,,,,
山东省,11.21,18.15,15.42,48.35,,,,,,,,,,,,,,,,
河南省,20.33,19.35,20.21,27.27,,,,,,,,,,,,,,,,
湖北省,35.56,31.95,219.07,223.30,,,,,,,,,,,,,,,,
湖南省,151.67,234.67,236.92,279.59,,,,,,,,,,,,,,,,
广东省,20.25,29.75,33.69,66.08,,,,,,,,,,,,,,,,
广西壮族自治区,90.55,108.13,46.74,81.13,,,,,,,,,,,,,,,,
海南省,3.68,0.36,0.96,0.39,,,,,,,,,,,,,,,,
重庆市,0.46,0.64,0.66,3.59,,,,,,,,,,,,,,,,
四川省,15.29,12.70,72.84,71.21,,,,,,,,,,,,,,,,
贵州省,9.91,20.28,26.18,40.07,,,,,,,,,,,,,,,,
云南省,16.37,10.57,12.64,56.71,,,,,,,,,,,,,,,,
西藏自治区,0.13,0.06,0.08,,,,,,,,,,,,,,,,,
陕西省,28.92,27.18,31.16,32.70,,,,,,,,,,,,,,,,
甘肃省,88.07,94.70,89.80,72.47,,,,,,,,,,,,,,,,
青海省,8.26,8.71,9.94,10.95,,,,,,,,,,,,,,,,
宁夏回族自治区,1.77,5.23,4.32,4.50,,,,,,,,,,,,,,,,
新疆维吾尔自治区,21.60,21.82,32.55,23.61,,,,,,,,,,,,,,,,
数据来源：国家统计局
