数据库：分省年度数据
指标：林业投资本年资金来源小计(万元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2218491,1663506,1211902,956294,473542,405273,295767,269560,196608,105973,100742,,,,,,,,,
天津市,203034,112535,53355,87612,30323,30572,24809,35561,9000,6171,5325,,,,,,,,,
河北省,851951,667202,656698,609179,482796,541901,232020,204950,202833,225865,211438,,,,,,,,,
山西省,1465912,1101015,1025047,1040002,725803,620845,435413,305967,219004,174603,178864,,,,,,,,,
内蒙古自治区,1334753,1327323,1350103,1214658,849822,721192,489229,459414,418613,418300,358581,,,,,,,,,
辽宁省,997605,1359981,1441192,1278828,494512,432777,218000,110963,78093,121087,66915,,,,,,,,,
吉林省,706033,636731,714079,642912,553575,493775,330921,174477,143972,225082,143659,,,,,,,,,
黑龙江省,971154,1249351,1740657,1888172,1089866,899998,353523,426058,203003,197979,181249,,,,,,,,,
上海市,133090,91043,80214,69840,79405,107027,33978,33507,91926,65614,103534,,,,,,,,,
江苏省,1478138,1247344,853019,867425,711066,663666,430472,266595,356366,235276,153738,,,,,,,,,
浙江省,859515,910626,787485,647006,427802,405379,39015,10054,9531,13675,17593,,,,,,,,,
安徽省,880585,956623,407564,297784,201872,168649,93829,97397,58260,71023,49917,,,,,,,,,
福建省,2684547,2647641,2433351,1684046,1145096,193054,42089,35097,26766,55889,30059,,,,,,,,,
江西省,896658,792871,763176,570649,476541,339813,143408,85427,64526,39822,48711,,,,,,,,,
山东省,3005744,2630360,2463000,1287506,700358,662342,211305,199825,176906,162168,136976,,,,,,,,,
河南省,1102935,1019382,976351,974898,951927,728770,138904,104084,107531,98347,91220,,,,,,,,,
湖北省,939685,674761,530445,406034,280082,262951,194027,171106,152151,143079,99858,,,,,,,,,
湖南省,1899883,1602881,1218347,578627,508008,403439,167199,175356,161888,124664,135827,,,,,,,,,
广东省,682731,1007523,711807,454609,437226,361582,41967,27849,42127,40645,26704,,,,,,,,,
广西壮族自治区,10441508,8342772,6585208,5545726,508232,443573,657024,225517,168429,168545,134927,,,,,,,,,
海南省,153052,158227,147073,105720,58565,73312,25992,30840,16227,37864,31409,,,,,,,,,
重庆市,498605,457583,501272,419282,564679,532465,344005,222856,228263,209340,187389,,,,,,,,,
四川省,2392181,1895854,1813110,1456213,1790489,1679963,1128323,936693,525040,481785,426759,,,,,,,,,
贵州省,402000,390000,380000,381500,362643,341158,288065,253516,208207,199530,194512,,,,,,,,,
云南省,909917,837619,1054549,746510,573758,467020,306786,277829,192689,201508,171367,,,,,,,,,
西藏自治区,135760,164920,165894,157451,75774,56573,39543,39543,3492,425,9318,,,,,,,,,
陕西省,1093813,1019627,674251,488503,456327,468484,307094,147653,128881,134316,128493,,,,,,,,,
甘肃省,813689,783875,754680,605242,715630,482817,367112,254377,233372,253385,206800,,,,,,,,,
青海省,281662,251926,221647,209440,147661,119745,101537,94739,64619,70150,59245,,,,,,,,,
宁夏回族自治区,209506,196804,143419,188696,146529,110831,104651,33402,27936,38196,35148,,,,,,,,,
新疆维吾尔自治区,722855,599698,722110,467232,373858,341161,214621,186777,146459,134030,97798,,,,,,,,,
注：林业投资全国合计数包含国家林业局直属单位的固定资产投资数据。
数据来源：国家统计局
