数据库：分省年度数据
指标：林业投资其它资金(万元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,28958,4409,15115,16159,28479,49507,11841,16917,11163,545,,,,,,,,,,
天津市,,,4067,4061,24846,22313,17722,29906,2928,,,,,,,,,,,
河北省,26506,26675,27774,34919,17758,72660,29583,7860,6102,8106,10527,,,,,,,,,
山西省,,,,,20659,16679,13237,2868,2034,1198,554,,,,,,,,,
内蒙古自治区,76459,19070,16474,28833,34820,79,5406,14184,7336,1930,8159,,,,,,,,,
辽宁省,747,1624,53216,302775,30559,13073,1252,6671,5424,,18242,,,,,,,,,
吉林省,55388,52340,84723,70108,132462,127697,23145,26925,20907,24490,14932,,,,,,,,,
黑龙江省,42770,12045,8894,23267,151093,131267,25048,14811,10128,8478,9477,,,,,,,,,
上海市,447,5520,5245,14218,8017,8211,5095,6654,8653,9593,15745,,,,,,,,,
江苏省,33034,18608,28062,144940,98918,46512,85889,215730,162746,96863,32187,,,,,,,,,
浙江省,32573,15847,9541,31951,14710,5800,34,939,573,515,1490,,,,,,,,,
安徽省,39665,27376,42668,69871,36659,23999,13850,11794,6537,7228,2837,,,,,,,,,
福建省,233124,12497,5209,4446,74814,40600,14393,10073,6859,11699,4953,,,,,,,,,
江西省,174465,95962,78106,108283,208634,155241,21787,7755,5982,2347,4982,,,,,,,,,
山东省,275374,286120,176727,443170,321272,304963,88913,121436,92262,65682,37294,,,,,,,,,
河南省,,165232,248470,210000,314000,132506,16375,601,2320,1757,4893,,,,,,,,,
湖北省,21228,28147,55472,63831,40122,40876,24645,21302,12051,12787,17727,,,,,,,,,
湖南省,89765,53910,65255,104362,118202,57634,9180,10672,3961,4791,5890,,,,,,,,,
广东省,74667,37623,37798,24554,41104,25229,13461,317,14802,913,4937,,,,,,,,,
广西壮族自治区,1325497,1219347,1547985,1083811,66384,57062,99981,39123,29178,13638,8087,,,,,,,,,
海南省,3090,4185,9833,8387,26780,36583,10629,3541,4781,6897,10391,,,,,,,,,
重庆市,3223,5602,3717,25763,95369,45017,28707,24153,20430,20767,16007,,,,,,,,,
四川省,263189,272855,391277,343147,464830,567347,356351,277945,45164,9969,9602,,,,,,,,,
贵州省,,,,,2762,,3228,19399,14221,797,5498,,,,,,,,,
云南省,72350,77101,104839,129445,165569,123903,59173,34729,17253,19660,14158,,,,,,,,,
西藏自治区,,,,,2169,,1171,1171,,,,,,,,,,,,
陕西省,102633,32760,75829,32705,66770,82231,21339,4185,10298,4555,5931,,,,,,,,,
甘肃省,8203,16143,16255,40577,122632,112724,6985,,43,4,298,,,,,,,,,
青海省,,,11535,3845,,,,,124,26,,,,,,,,,,
宁夏回族自治区,42063,4446,11425,,18755,12279,6827,4521,5405,,,,,,,,,,,
新疆维吾尔自治区,34714,5851,8201,33271,13671,10034,8929,17868,6338,1964,1479,,,,,,,,,
注：林业投资全国合计数包含国家林业局直属单位的固定资产投资数据。
数据来源：国家统计局
