数据库：分省年度数据
指标：退耕还林工程造林面积(公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,825,13117,,,,,,,,,
天津市,,,,,,,,,,,202,,,,,,,,,
河北省,,,,12380,24132,23358,55513,38842,75468,207366,315804,,,,,,,,,
山西省,,,,45291,64335,35667,60428,80234,59998,86672,170666,,,,,,,,,
内蒙古自治区,,,,39696,51997,48555,101369,34879,54752,265565,442470,,,,,,,,,
辽宁省,,,,30664,36180,23485,58159,46459,48630,100453,118810,,,,,,,,,
吉林省,,,,11269,34685,3913,10044,8150,20754,17583,37259,,,,,,,,,
黑龙江省,,,,27091,40672,58475,87200,59805,,65737,115809,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,15335,22659,32540,18620,16557,,17026,29462,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,22660,36651,34517,46833,53333,43334,33332,46666,,,,,,,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,48261,44333,53333,53155,,46668,100233,186674,,,,,,,,,
湖北省,,,,42672,30160,26212,53467,46667,46667,123044,120435,,,,,,,,,
湖南省,,,,35487,35340,53333,47025,46352,124502,125166,322356,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,18246,23406,33892,49704,54036,46771,82261,134467,,,,,,,,,
海南省,,,,2465,3370,3427,11321,5993,12330,16651,26700,,,,,,,,,
重庆市,,,,26269,30312,36671,20000,60000,20003,100668,107168,,,,,,,,,
四川省,,,,26897,71595,36489,61934,36961,53370,113589,101150,,,,,,,,,
贵州省,,,,18667,36663,33274,45936,60002,54671,113343,143658,,,,,,,,,
云南省,,,,137060,152749,118648,71778,43843,9027,85417,111190,,,,,,,,,
西藏自治区,,,,8666,8741,10821,10000,10000,10000,4471,667,,,,,,,,,
陕西省,,,,59356,60737,39328,74131,90050,78377,62454,421506,,,,,,,,,
甘肃省,,,,22164,44027,42797,60069,75337,66250,207640,316138,,,,,,,,,
青海省,,,,22516,20855,28102,15509,21923,,38177,43707,,,,,,,,,
宁夏回族自治区,,,,5999,20238,33042,35844,24690,37165,82380,144895,,,,,,,,,
新疆维吾尔自治区,,,,33066,39033,50120,62308,41907,39732,73116,97242,,,,,,,,,
数据来源：国家统计局
