数据库：分省年度数据
指标：三北及长江流域等防护林建设工程造林面积(公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,200,7787,2180,1417,1028,1574,1833,3876,,,,,,,,,
天津市,,,,7401,170,14527,10062,1521,2336,3458,4452,,,,,,,,,
河北省,,,,73935,131358,152320,100792,76496,37354,30196,28378,,,,,,,,,
山西省,,,,65408,17066,156273,60053,43993,15737,19333,26440,,,,,,,,,
内蒙古自治区,,,,125380,282745,234100,72172,33881,41645,,4806,,,,,,,,,
辽宁省,,,,98615,,106489,23239,40603,22139,26036,17068,,,,,,,,,
吉林省,,,,24004,,26161,15835,10031,14641,10334,14574,,,,,,,,,
黑龙江省,,,,83064,,153193,32263,29160,24901,17261,32133,,,,,,,,,
上海市,,,,,,1383,,40,200,,11308,,,,,,,,,
江苏省,,,,29517,,50769,13131,9846,7306,16295,18941,,,,,,,,,
浙江省,,,,13595,,24301,5974,3857,2192,5718,11006,,,,,,,,,
安徽省,,,,23349,,26692,10570,8358,3402,8760,9184,,,,,,,,,
福建省,,,,46288,,10576,4416,1510,1048,3358,5328,,,,,,,,,
江西省,,,,30230,,45385,18370,7403,3841,5796,8318,,,,,,,,,
山东省,,,,63733,,63843,27451,4275,4223,8868,9084,,,,,,,,,
河南省,,,,47027,,52139,20245,17473,17715,22869,27345,,,,,,,,,
湖北省,,,,36526,,34502,12936,9335,13780,11682,17263,,,,,,,,,
湖南省,,,,34606,,50696,18029,13724,1989,4031,6125,,,,,,,,,
广东省,,,,44587,,16575,2150,997,1286,3206,5209,,,,,,,,,
广西壮族自治区,,,,27346,,37642,7139,4452,4338,8317,10210,,,,,,,,,
海南省,,,,6551,,15047,1314,792,1504,1573,2596,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,
贵州省,,,,13238,,34340,16000,13332,4665,14168,12974,,,,,,,,,
云南省,,,,20560,,13931,10534,4708,3420,8133,9451,,,,,,,,,
西藏自治区,,,,,,,,10200,10200,351,23375,,,,,,,,,
陕西省,,,,83086,,122166,36273,36739,22370,6787,7738,,,,,,,,,
甘肃省,,,,68848,,94119,36876,32384,13167,13355,19681,,,,,,,,,
青海省,,,,51059,,55967,7732,5508,4591,6967,6821,,,,,,,,,
宁夏回族自治区,,,,16752,,49106,54711,32658,17675,26200,11977,,,,,,,,,
新疆维吾尔自治区,,,,129121,,248655,146086,119915,61460,83317,82659,,,,,,,,,
数据来源：国家统计局
