数据库：分省年度数据
指标：京津风沙源治理工程造林面积(公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,17753,313,12454,9799,9273,6442,4919,22056,,,,,,,,,
天津市,,,,,11145,1127,1154,2495,667,133,335,,,,,,,,,
河北省,,,,94705,88952,108398,165971,100443,95330,139405,182607,,,,,,,,,
山西省,,,,24734,90896,21292,36455,31159,50064,68931,65272,,,,,,,,,
内蒙古自治区,,,,407999,154753,291546,255663,171762,67211,205119,203002,,,,,,,,,
辽宁省,,,,,102199,,,,,,,,,,,,,,,
吉林省,,,,,45513,,,,,,,,,,,,,,,
黑龙江省,,,,,129792,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,37645,,,,,,,,,,,,,,,
浙江省,,,,,11617,,,,,,,,,,,,,,,
安徽省,,,,,25956,,,,,,,,,,,,,,,
福建省,,,,,10822,,,,,,,,,,,,,,,
江西省,,,,,17259,,,,,,,,,,,,,,,
山东省,,,,,37393,,,,,,,,,,,,,,,
河南省,,,,,40519,,,,,,,,,,,,,,,
湖北省,,,,,10334,,,,,,,,,,,,,,,
湖南省,,,,,16685,,,,,,,,,,,,,,,
广东省,,,,,32477,,,,,,,,,,,,,,,
广西壮族自治区,,,,,30870,,,,,,,,,,,,,,,
海南省,,,,,9205,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,
贵州省,,,,,21000,,,,,,,,,,,,,,,
云南省,,,,,12571,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,100182,,,,,,,,,,,,,,,
甘肃省,,,,,55635,,,,,,,,,,,,,,,
青海省,,,,,24860,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,63363,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,178693,,,,,,,,,,,,,,,
数据来源：国家统计局
