数据库：分省年度数据
指标：人工林受害面积(公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,0.68,1.57,7.47,1.55,2.07,49.80,8.35,43.63,,,,,,,,,
天津市,,,,8.60,6.17,2.34,,,35.17,2.26,1.28,,,,,,,,,
河北省,,,,350.28,5.96,104.86,2.86,20.34,196.13,139.00,109.10,,,,,,,,,
山西省,,,,3289.04,147.46,524.99,279.82,892.18,1708.41,566.62,410.30,,,,,,,,,
内蒙古自治区,,,,188.96,8.43,31.46,185.80,42.83,145.77,1204.87,441.60,,,,,,,,,
辽宁省,,,,153.96,79.23,410.14,287.36,141.64,242.87,121.84,160.89,,,,,,,,,
吉林省,,,,17.87,4.71,104.94,30.83,6.33,1.59,5.46,111.44,,,,,,,,,
黑龙江省,,,,17.00,,90.55,97.16,76.35,1.50,,1365.80,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,52.41,3.22,5.02,21.46,5.20,27.27,388.51,151.85,,,,,,,,,
浙江省,,,,1474.91,254.81,1207.31,2897.09,1114.35,1066.10,3836.45,6651.83,,,,,,,,,
安徽省,,,,251.70,392.74,309.90,570.00,273.60,173.00,1168.90,1047.90,,,,,,,,,
福建省,,,,6323.06,1380.15,10803.88,7858.50,2105.06,1273.66,3367.86,13438.80,,,,,,,,,
江西省,,,,1391.40,691.79,3278.59,6903.56,2036.48,1046.32,4097.88,10639.69,,,,,,,,,
山东省,,,,860.60,55.14,69.06,5.80,78.18,80.32,242.68,42.45,,,,,,,,,
河南省,,,,889.59,505.25,810.47,828.46,841.35,368.83,431.25,145.21,,,,,,,,,
湖北省,,,,651.79,483.50,390.46,1331.97,1032.25,1074.85,1600.48,1388.70,,,,,,,,,
湖南省,,,,3340.85,4769.12,10050.07,16935.77,7896.51,4971.78,11294.26,12965.72,,,,,,,,,
广东省,,,,1406.95,274.47,1189.66,1096.19,1110.80,1019.99,1384.79,2886.20,,,,,,,,,
广西壮族自治区,,,,875.70,1548.94,1150.04,1367.05,2207.43,1315.77,2389.17,4540.96,,,,,,,,,
海南省,,,,118.03,126.47,160.24,100.48,259.47,83.06,457.89,137.96,,,,,,,,,
重庆市,,,,265.83,79.94,53.11,112.37,131.90,634.83,120.51,136.76,,,,,,,,,
四川省,,,,409.97,170.42,483.51,259.60,324.91,314.23,210.53,61.37,,,,,,,,,
贵州省,,,,819.61,7872.07,3314.60,3573.95,1539.40,1537.63,1821.53,1630.98,,,,,,,,,
云南省,,,,538.20,1972.57,1332.18,597.66,933.93,1352.74,1223.51,472.21,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,149.80,83.35,104.32,23.26,171.96,23.94,132.04,74.36,,,,,,,,,
甘肃省,,,,9.58,33.13,2.35,3.04,0.50,5.70,1.02,7.77,,,,,,,,,
青海省,,,,23.60,53.50,16.22,18.59,21.20,80.87,76.82,7.63,,,,,,,,,
宁夏回族自治区,,,,,28.88,,9.32,,66.00,11.00,2.00,,,,,,,,,
新疆维吾尔自治区,,,,35.80,15.70,49.86,65.64,39.37,1.39,0.99,31.45,,,,,,,,,
数据来源：国家统计局
