数据库：分省年度数据
指标：森林病害发生面积(万公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.20,0.16,0.24,0.26,0.20,0.07,0.13,,,0.01,0.06,,,,,,,,,
天津市,0.69,0.72,0.71,0.60,0.56,0.42,0.09,0.35,0.20,0.13,0.12,,,,,,,,,
河北省,2.79,3.03,2.98,4.07,3.34,3.44,2.26,1.99,2.53,1.64,1.59,,,,,,,,,
山西省,0.68,0.67,0.34,0.31,1.98,0.26,0.55,0.25,0.13,0.20,0.05,,,,,,,,,
内蒙古自治区,21.28,19.82,14.58,5.58,1.37,1.85,2.21,7.44,2.67,1.40,1.46,,,,,,,,,
辽宁省,6.39,6.25,6.48,7.14,6.72,6.03,5.32,5.14,5.73,3.00,2.43,,,,,,,,,
吉林省,2.61,2.69,1.91,1.74,2.61,2.53,2.94,3.32,5.20,8.77,1.25,,,,,,,,,
黑龙江省,4.52,3.73,4.39,4.77,24.51,2.45,2.10,4.33,3.00,3.27,3.64,,,,,,,,,
上海市,0.04,0.05,0.09,0.08,0.05,0.07,0.10,0.09,0.07,0.11,0.18,,,,,,,,,
江苏省,1.03,1.07,1.03,1.10,1.29,1.72,1.95,1.75,1.80,2.07,0.80,,,,,,,,,
浙江省,1.41,1.24,1.27,1.65,1.82,2.04,2.16,2.42,1.27,2.91,3.58,,,,,,,,,
安徽省,5.58,3.88,5.21,5.27,5.56,5.94,4.82,4.96,4.07,2.25,2.11,,,,,,,,,
福建省,1.05,1.20,1.13,1.27,1.21,1.40,1.53,1.65,1.67,2.50,2.97,,,,,,,,,
江西省,5.63,5.16,5.69,5.40,5.76,6.27,5.74,5.52,7.07,8.29,2.06,,,,,,,,,
山东省,8.53,9.79,10.91,11.72,11.51,12.24,13.38,15.02,13.60,16.34,12.79,,,,,,,,,
河南省,11.17,11.38,11.05,11.31,3.13,8.63,11.75,11.01,8.80,7.87,7.76,,,,,,,,,
湖北省,4.27,2.91,3.16,4.77,4.22,2.10,4.25,1.94,1.93,2.16,2.51,,,,,,,,,
湖南省,3.63,4.34,4.75,0.69,0.28,0.55,0.16,0.35,0.80,0.74,0.05,,,,,,,,,
广东省,1.29,1.33,1.43,1.72,5.33,4.98,3.45,3.21,2.27,2.62,2.06,,,,,,,,,
广西壮族自治区,3.91,3.69,2.93,3.09,3.13,2.31,2.14,2.18,2.27,3.80,4.16,,,,,,,,,
海南省,0.04,0.04,0.00,0.01,0.04,0.12,0.02,0.13,0.07,,,,,,,,,,,
重庆市,2.15,2.04,2.10,2.06,1.60,1.25,0.60,2.33,1.73,3.73,1.67,,,,,,,,,
四川省,9.10,9.25,9.59,8.91,9.19,9.20,9.66,9.22,8.93,7.98,4.97,,,,,,,,,
贵州省,1.35,1.27,1.61,1.59,1.64,1.15,1.66,1.79,1.67,1.33,1.98,,,,,,,,,
云南省,4.39,4.58,4.29,4.61,3.55,3.48,4.37,4.21,4.07,5.93,4.56,,,,,,,,,
西藏自治区,8.76,8.25,7.61,7.60,11.04,3.67,,,0.67,0.67,,,,,,,,,,
陕西省,3.03,3.21,3.49,1.88,1.74,1.29,1.26,2.13,4.47,2.65,1.84,,,,,,,,,
甘肃省,8.80,8.24,6.23,6.57,2.30,2.10,3.71,9.50,8.93,3.99,3.75,,,,,,,,,
青海省,0.05,0.03,3.76,3.12,3.03,1.87,2.19,2.04,1.73,2.34,2.66,,,,,,,,,
宁夏回族自治区,1.78,2.74,0.01,0.30,,,0.39,0.27,0.07,0.06,0.03,,,,,,,,,
新疆维吾尔自治区,9.24,14.02,10.16,8.36,8.08,11.17,22.73,2.42,4.40,0.78,0.66,,,,,,,,,
数据来源：国家统计局
