数据库：分省年度数据
指标：森林覆盖率(%)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,35.8,35.8,35.8,35.8,35.8,35.8,21.3,21.3,21.3,21.3,21.3,,,,,,,,,
天津市,9.9,9.9,9.9,9.9,9.9,9.9,8.1,8.1,8.1,8.1,8.1,,,,,,,,,
河北省,23.4,23.4,23.4,23.4,23.4,23.4,17.7,17.7,17.7,17.7,17.7,,,,,,,,,
山西省,18.0,18.0,18.0,18.0,18.0,18.0,13.3,13.3,13.3,13.3,13.3,,,,,,,,,
内蒙古自治区,21.0,21.0,21.0,21.0,21.0,21.0,17.7,17.7,17.7,17.7,17.7,,,,,,,,,
辽宁省,38.2,38.2,38.2,38.2,38.2,38.2,33.0,33.0,33.0,33.0,33.0,,,,,,,,,
吉林省,40.4,40.4,40.4,40.4,40.4,40.4,38.1,38.1,38.1,38.1,38.1,,,,,,,,,
黑龙江省,43.2,43.2,43.2,43.2,43.2,43.2,39.5,39.5,39.5,39.5,39.5,,,,,,,,,
上海市,10.7,10.7,10.7,10.7,10.7,10.7,3.2,3.2,3.2,3.2,3.2,,,,,,,,,
江苏省,15.8,15.8,15.8,15.8,15.8,15.8,7.5,7.5,7.5,7.5,7.5,,,,,,,,,
浙江省,59.1,59.1,59.1,59.1,59.1,59.1,54.4,54.4,54.4,54.4,54.4,,,,,,,,,
安徽省,27.5,27.5,27.5,27.5,27.5,27.5,24.0,24.0,24.0,24.0,24.0,,,,,,,,,
福建省,66.0,66.0,66.0,66.0,66.0,66.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,
江西省,60.0,60.0,60.0,60.0,60.0,60.0,55.9,55.9,55.9,55.9,55.9,,,,,,,,,
山东省,16.7,16.7,16.7,16.7,16.7,16.7,13.4,13.4,13.4,13.4,13.4,,,,,,,,,
河南省,21.5,21.5,21.5,21.5,21.5,21.5,16.2,16.2,16.2,16.2,16.2,,,,,,,,,
湖北省,38.4,38.4,38.4,38.4,38.4,38.4,26.8,26.8,26.8,26.8,26.8,,,,,,,,,
湖南省,47.8,47.8,47.8,47.8,47.8,47.8,40.6,40.6,40.6,40.6,40.6,,,,,,,,,
广东省,51.3,51.3,51.3,51.3,51.3,51.3,46.5,46.5,46.5,46.5,46.5,,,,,,,,,
广西壮族自治区,56.5,56.5,56.5,56.5,56.5,56.5,41.4,41.4,41.4,41.4,41.4,,,,,,,,,
海南省,55.4,55.4,55.4,55.4,55.4,55.4,48.9,48.9,48.9,48.9,48.9,,,,,,,,,
重庆市,38.4,38.4,38.4,38.4,38.4,38.4,22.3,22.3,22.3,22.3,22.3,,,,,,,,,
四川省,35.2,35.2,35.2,35.2,35.2,35.2,30.3,30.3,30.3,30.3,30.3,,,,,,,,,
贵州省,37.1,37.1,37.1,37.1,37.1,37.1,23.8,23.8,23.8,23.8,23.8,,,,,,,,,
云南省,50.0,50.0,50.0,50.0,50.0,50.0,40.8,40.8,40.8,40.8,40.8,,,,,,,,,
西藏自治区,12.0,12.0,12.0,12.0,12.0,12.0,11.3,11.3,11.3,11.3,11.3,,,,,,,,,
陕西省,41.4,41.4,41.4,41.4,41.4,41.4,32.6,32.6,32.6,32.6,32.6,,,,,,,,,
甘肃省,11.3,11.3,11.3,11.3,11.3,11.3,6.7,6.7,6.7,6.7,6.7,,,,,,,,,
青海省,5.6,5.6,5.6,5.6,5.6,5.6,4.4,4.4,4.4,4.4,4.4,,,,,,,,,
宁夏回族自治区,11.9,11.9,11.9,11.9,11.9,11.9,6.1,6.1,6.1,6.1,6.1,,,,,,,,,
新疆维吾尔自治区,4.2,4.2,4.2,4.2,4.2,4.2,2.9,2.9,2.9,2.9,2.9,,,,,,,,,
数据来源：国家统计局
