数据库：分省年度数据
指标：活立木总蓄积量(亿立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.18,0.18,0.18,0.18,0.18,0.18,0.12,0.12,0.12,0.12,0.12,,,,,,,,,
天津市,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02,,,,,,,,,
河北省,1.31,1.31,1.31,1.31,1.31,1.31,0.87,0.87,0.87,0.87,0.87,,,,,,,,,
山西省,1.10,1.10,1.10,1.10,1.10,1.10,0.73,0.73,0.73,0.73,0.73,,,,,,,,,
内蒙古自治区,14.84,14.84,14.84,14.84,14.84,14.84,12.88,12.88,12.88,12.88,12.88,,,,,,,,,
辽宁省,2.60,2.60,2.60,2.60,2.60,2.60,1.85,1.85,1.85,1.85,1.85,,,,,,,,,
吉林省,9.65,9.65,9.65,9.65,9.65,9.65,8.54,8.54,8.54,8.54,8.54,,,,,,,,,
黑龙江省,17.77,17.77,17.77,17.77,17.77,17.77,15.02,15.02,15.02,15.02,15.02,,,,,,,,,
上海市,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,,,,,,,,,
江苏省,0.85,0.85,0.85,0.85,0.85,0.85,0.41,0.41,0.41,0.41,0.41,,,,,,,,,
浙江省,2.42,2.42,2.42,2.42,2.42,2.42,1.38,1.38,1.38,1.38,1.38,,,,,,,,,
安徽省,2.17,2.17,2.17,2.17,2.17,2.17,1.27,1.27,1.27,1.27,1.27,,,,,,,,,
福建省,6.67,6.67,6.67,6.67,6.67,6.67,4.97,4.97,4.97,4.97,4.97,,,,,,,,,
江西省,4.70,4.70,4.70,4.70,4.70,4.70,3.74,3.74,3.74,3.74,3.74,,,,,,,,,
山东省,1.24,1.24,1.24,1.24,1.24,1.24,0.58,0.58,0.58,0.58,0.58,,,,,,,,,
河南省,2.29,2.29,2.29,2.29,2.29,2.29,1.34,1.34,1.34,1.34,1.34,,,,,,,,,
湖北省,3.13,3.13,3.13,3.13,3.13,3.13,1.75,1.75,1.75,1.75,1.75,,,,,,,,,
湖南省,3.73,3.73,3.73,3.73,3.73,3.73,3.02,3.02,3.02,3.02,3.02,,,,,,,,,
广东省,3.78,3.78,3.78,3.78,3.78,3.78,2.97,2.97,2.97,2.97,2.97,,,,,,,,,
广西壮族自治区,5.58,5.58,5.58,5.58,5.58,5.58,4.03,4.03,4.03,4.03,4.03,,,,,,,,,
海南省,0.98,0.98,0.98,0.98,0.98,0.98,0.79,0.79,0.79,0.79,0.79,,,,,,,,,
重庆市,1.74,1.74,1.74,1.74,1.74,1.74,1.06,1.06,1.06,1.06,1.06,,,,,,,,,
四川省,17.76,17.76,17.76,17.76,17.76,17.76,15.82,15.82,15.82,15.82,15.82,,,,,,,,,
贵州省,3.44,3.44,3.44,3.44,3.44,3.44,2.10,2.10,2.10,2.10,2.10,,,,,,,,,
云南省,18.75,18.75,18.75,18.75,18.75,18.75,15.48,15.48,15.48,15.48,15.48,,,,,,,,,
西藏自治区,22.88,22.88,22.88,22.88,22.88,22.88,22.94,22.94,22.94,22.94,22.94,,,,,,,,,
陕西省,4.24,4.24,4.24,4.24,4.24,4.24,3.34,3.34,3.34,3.34,3.34,,,,,,,,,
甘肃省,2.41,2.41,2.41,2.41,2.41,2.41,1.95,1.95,1.95,1.95,1.95,,,,,,,,,
青海省,0.49,0.49,0.49,0.49,0.49,0.49,0.41,0.41,0.41,0.41,0.41,,,,,,,,,
宁夏回族自治区,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.05,,,,,,,,,
新疆维吾尔自治区,3.87,3.87,3.87,3.87,3.87,3.87,3.14,3.14,3.14,3.14,3.14,,,,,,,,,
数据来源：国家统计局
