数据库：分省年度数据
指标：地表水资源量(亿立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6.50,9.43,17.95,9.17,7.20,6.76,12.80,7.60,6.67,7.58,8.15,,,,,,,,,
天津市,8.33,10.80,26.54,10.89,5.60,10.59,13.60,7.50,6.62,7.13,9.79,,,,,,,,,
河北省,46.94,76.83,117.76,69.84,56.60,47.54,62.40,38.99,42.10,58.01,61.32,,,,,,,,,
山西省,65.20,81.05,65.90,76.65,52.80,47.67,51.30,65.26,53.62,50.37,58.10,,,,,,,,,
内蒙古自治区,397.61,813.52,349.24,298.16,253.40,263.36,274.80,183.03,294.33,338.69,310.23,,,,,,,,,
辽宁省,123.74,420.26,492.42,260.50,554.00,137.98,226.80,231.94,233.94,336.30,248.66,,,,,,,,,
吉林省,251.02,535.20,387.33,262.88,622.10,252.81,276.60,301.54,298.44,489.56,278.44,,,,,,,,,
黑龙江省,814.38,1253.30,695.69,512.51,725.20,845.59,341.90,374.07,602.24,611.97,530.60,,,,,,,,,
上海市,40.08,22.77,27.35,16.23,30.90,34.60,30.00,27.96,27.64,24.47,24.98,,,,,,,,,
江苏省,296.43,202.32,279.14,398.96,291.20,306.05,280.90,395.71,314.70,366.38,132.43,,,,,,,,,
浙江省,1118.25,917.30,1427.15,733.31,1382.90,917.40,839.90,876.72,889.41,999.36,662.19,,,,,,,,,
安徽省,712.86,525.41,640.64,544.17,876.30,685.92,651.90,666.10,532.77,672.20,462.01,,,,,,,,,
福建省,1218.42,1150.65,1510.07,773.52,1651.50,799.59,1035.70,1071.71,1622.26,1399.95,710.99,,,,,,,,,
江西省,1613.28,1405.29,2155.79,1018.94,2255.20,1144.67,1335.70,1093.91,1610.40,1490.25,1016.51,,,,,,,,,
山东省,76.61,191.07,182.17,237.50,199.10,173.80,229.00,280.19,109.56,295.85,234.53,,,,,,,,,
河南省,177.44,123.13,172.65,222.47,415.70,208.30,259.10,348.72,214.54,435.92,289.68,,,,,,,,,
湖北省,885.88,756.64,783.76,725.41,1239.10,794.45,1003.70,984.11,608.93,903.58,894.56,,,,,,,,,
湖南省,1791.50,1574.34,1981.31,1120.74,1899.40,1393.78,1593.10,1419.34,1763.38,1664.49,1634.23,,,,,,,,,
广东省,1709.00,2253.75,2017.49,1461.25,1989.50,1604.07,2197.30,1571.80,2206.50,1738.47,1177.76,,,,,,,,,
广西壮族自治区,1989.65,2056.26,2086.36,1350.02,1823.60,1484.31,2282.50,1386.26,1881.08,1720.82,1604.52,,,,,,,,,
海南省,378.70,496.49,360.22,478.80,474.30,474.64,414.10,280.53,225.10,304.46,169.09,,,,,,,,,
重庆市,642.58,474.35,476.89,514.58,464.30,455.92,576.90,662.96,380.32,509.78,558.76,,,,,,,,,
四川省,2556.51,2469.12,2891.21,2238.34,2573.70,2330.56,2488.30,2298.24,1864.24,2920.98,2432.57,,,,,,,,,
贵州省,1213.12,759.44,974.02,626.02,956.50,910.03,1140.70,1054.62,814.63,834.63,990.99,,,,,,,,,
云南省,1726.63,1706.69,1689.77,1480.20,1941.40,1576.60,2314.50,2255.52,1711.67,1846.43,2106.30,,,,,,,,,
西藏自治区,4416.30,4415.74,4196.35,4402.71,4593.00,4029.16,4560.20,4321.38,4157.14,4451.07,4665.16,,,,,,,,,
陕西省,325.85,331.47,367.96,575.51,482.50,393.66,285.00,349.59,246.26,468.24,286.10,,,,,,,,,
甘肃省,190.49,262.22,258.95,233.01,206.70,201.79,179.30,219.08,176.39,260.34,162.29,,,,,,,,,
青海省,775.97,629.54,879.21,715.07,715.80,873.94,640.00,643.68,551.10,857.56,588.75,,,,,,,,,
宁夏回族自治区,8.16,9.47,8.45,6.90,7.00,6.02,6.60,7.77,8.23,6.88,7.49,,,,,,,,,
新疆维吾尔自治区,686.55,905.63,851.60,840.97,1051.20,713.66,772.50,816.64,903.84,910.65,809.15,,,,,,,,,
数据来源：国家统计局
