数据库：分省年度数据
指标：水资源总量(亿立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,20.30,24.81,39.50,26.81,23.10,21.84,34.20,23.81,22.07,23.18,21.34,,,,,,,,,
天津市,11.37,14.64,32.94,15.39,9.20,15.24,18.30,11.31,10.11,10.63,14.31,,,,,,,,,
河北省,106.16,175.86,235.53,157.15,138.90,141.16,161.00,119.79,107.34,134.57,154.24,,,,,,,,,
山西省,111.01,126.55,106.25,124.34,91.50,85.76,87.40,103.40,88.52,84.13,92.51,,,,,,,,,
内蒙古自治区,537.79,959.81,510.25,419.00,388.50,378.15,412.10,295.86,411.29,456.18,437.60,,,,,,,,,
辽宁省,145.93,463.17,547.30,294.79,606.70,170.96,266.00,261.72,261.36,377.20,285.65,,,,,,,,,
吉林省,306.03,607.40,460.47,315.89,686.70,298.04,332.00,346.04,353.63,559.66,323.71,,,,,,,,,
黑龙江省,944.34,1419.58,841.41,629.48,853.50,989.61,462.00,491.85,727.93,744.27,652.14,,,,,,,,,
上海市,47.15,28.03,33.90,20.72,36.80,41.57,37.00,34.50,27.64,24.47,24.98,,,,,,,,,
江苏省,399.34,283.53,373.33,492.40,383.50,400.31,378.00,495.71,404.40,466.96,204.02,,,,,,,,,
浙江省,1132.15,931.34,1444.79,744.96,1398.60,931.35,855.20,892.15,903.59,1014.35,675.67,,,,,,,,,
安徽省,778.48,585.59,701.00,602.25,922.80,733.10,699.30,712.46,580.50,719.25,500.65,,,,,,,,,
福建省,1219.62,1151.90,1511.44,774.85,1652.70,800.81,1036.90,1072.90,1623.48,1401.12,712.23,,,,,,,,,
江西省,1631.81,1423.99,2174.36,1037.88,2275.50,1166.91,1356.20,1112.96,1629.97,1510.10,1034.63,,,,,,,,,
山东省,148.44,291.70,274.30,347.63,309.10,284.95,328.70,387.11,199.32,415.86,349.48,,,,,,,,,
河南省,283.36,213.07,265.54,327.97,534.90,328.77,371.30,465.18,321.78,558.52,406.59,,,,,,,,,
湖北省,914.29,790.15,813.88,757.54,1268.70,825.28,1033.90,1015.06,639.69,933.96,926.36,,,,,,,,,
湖南省,1799.43,1581.97,1988.94,1126.94,1906.60,1400.47,1600.00,1426.55,1770.29,1671.04,1641.28,,,,,,,,,
广东省,1718.45,2263.17,2026.55,1471.26,1998.80,1613.68,2206.80,1581.15,2216.17,1747.49,1187.67,,,,,,,,,
广西壮族自治区,1990.90,2057.33,2087.40,1350.02,1823.60,1484.31,2282.50,1386.26,1881.08,1720.82,1604.52,,,,,,,,,
海南省,383.51,502.11,364.31,484.10,479.80,480.71,419.10,283.53,227.59,307.29,171.14,,,,,,,,,
重庆市,642.58,474.35,476.89,514.58,464.30,455.92,576.90,662.96,380.32,509.78,558.76,,,,,,,,,
四川省,2557.66,2470.27,2892.36,2239.49,2575.30,2332.16,2489.90,2299.84,1865.84,2922.58,2434.17,,,,,,,,,
贵州省,1213.12,759.44,974.02,626.02,956.50,910.03,1140.70,1054.62,814.63,834.63,990.99,,,,,,,,,
云南省,1726.63,1706.69,1689.77,1480.20,1941.40,1576.60,2314.50,2255.52,1711.67,1846.43,2106.30,,,,,,,,,
西藏自治区,4416.30,4415.74,4196.35,4402.71,4593.00,4029.16,4560.20,4321.38,4157.14,4451.07,4665.16,,,,,,,,,
陕西省,351.64,353.78,390.49,604.42,507.50,416.49,304.00,377.03,275.51,490.59,309.41,,,,,,,,,
甘肃省,198.38,268.90,266.95,242.21,215.20,209.02,187.50,228.73,184.59,269.60,171.93,,,,,,,,,
青海省,793.86,645.61,895.22,733.12,741.10,895.11,658.10,661.62,569.00,876.10,606.81,,,,,,,,,
宁夏回族自治区,10.07,11.40,10.81,8.76,9.30,8.42,9.20,10.39,10.61,8.53,9.86,,,,,,,,,
新疆维吾尔自治区,726.93,955.99,900.63,885.65,1113.10,754.31,815.60,863.77,953.10,962.81,855.39,,,,,,,,,
数据来源：国家统计局
