数据库：分省年度数据
指标：一般环境事件(次)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,11,16,21,36,,,,,,,,,,,,,,,,
天津市,1,,5,1,,,,,,,,,,,,,,,,
河北省,2,3,10,14,,,,,,,,,,,,,,,,
山西省,6,12,,11,,,,,,,,,,,,,,,,
内蒙古自治区,2,4,10,14,,,,,,,,,,,,,,,,
辽宁省,4,11,13,2,,,,,,,,,,,,,,,,
吉林省,1,1,1,,,,,,,,,,,,,,,,,
黑龙江省,,,,5,,,,,,,,,,,,,,,,
上海市,108,250,192,197,,,,,,,,,,,,,,,,
江苏省,65,124,77,26,,,,,,,,,,,,,,,,
浙江省,26,25,23,28,,,,,,,,,,,,,,,,
安徽省,9,5,20,11,,,,,,,,,,,,,,,,
福建省,18,13,4,8,,,,,,,,,,,,,,,,
江西省,6,4,1,7,,,,,,,,,,,,,,,,
山东省,5,4,3,,,,,,,,,,,,,,,,,
河南省,6,17,14,24,,,,,,,,,,,,,,,,
湖北省,3,5,4,,,,,,,,,,,,,,,,,
湖南省,1,2,1,,,,,,,,,,,,,,,,,
广东省,22,4,22,23,,,,,,,,,,,,,,,,
广西壮族自治区,8,14,16,,,,,,,,,,,,,,,,,
海南省,3,4,2,1,,,,,,,,,,,,,,,,
重庆市,16,11,25,18,,,,,,,,,,,,,,,,
四川省,5,14,16,23,,,,,,,,,,,,,,,,
贵州省,3,9,3,5,,,,,,,,,,,,,,,,
云南省,3,2,1,1,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,80,118,23,2,,,,,,,,,,,,,,,,
甘肃省,21,11,8,,,,,,,,,,,,,,,,,
青海省,6,2,4,1,,,,,,,,,,,,,,,,
宁夏回族自治区,6,2,,1,,,,,,,,,,,,,,,,
新疆维吾尔自治区,5,10,13,6,,,,,,,,,,,,,,,,
数据来源：国家统计局
