数据库：分省年度数据
指标：自然灾害直接经济损失(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,10.5,4.8,171.1,14.7,2.1,,,,,,,,,,,,,,,
天津市,1.3,1.0,32.5,0.9,0.5,,,,,,,,,,,,,,,
河北省,135.1,113.3,397.2,69.2,97.5,,,,,,,,,,,,,,,
山西省,50.8,146.9,64.9,74.2,123.0,,,,,,,,,,,,,,,
内蒙古自治区,113.1,128.9,152.8,103.1,138.3,,,,,,,,,,,,,,,
辽宁省,169.6,125.2,206.6,36.6,168.8,,,,,,,,,,,,,,,
吉林省,117.4,133.3,52.1,41.4,523.7,,,,,,,,,,,,,,,
黑龙江省,55.8,325.2,69.9,90.3,60.1,,,,,,,,,,,,,,,
上海市,,3.7,5.2,3.6,,,,,,,,,,,,,,,,
江苏省,14.0,32.7,107.8,90.5,54.5,,,,,,,,,,,,,,,
浙江省,64.4,695.9,309.9,163.9,75.4,,,,,,,,,,,,,,,
安徽省,29.4,206.4,87.2,115.2,104.1,,,,,,,,,,,,,,,
福建省,45.4,120.8,47.3,15.1,158.9,,,,,,,,,,,,,,,
江西省,72.8,90.2,113.3,135.7,520.0,,,,,,,,,,,,,,,
山东省,82.4,89.7,244.8,147.5,205.4,,,,,,,,,,,,,,,
河南省,118.7,109.6,26.8,62.0,195.2,,,,,,,,,,,,,,,
湖北省,68.4,145.0,131.7,216.2,238.7,,,,,,,,,,,,,,,
湖南省,206.5,282.7,149.1,266.9,273.8,,,,,,,,,,,,,,,
广东省,337.1,489.8,75.7,57.3,178.2,,,,,,,,,,,,,,,
广西壮族自治区,191.7,63.1,45.6,76.5,108.7,,,,,,,,,,,,,,,
海南省,177.4,37.5,15.5,85.8,131.9,,,,,,,,,,,,,,,
重庆市,98.5,51.1,56.0,71.9,68.3,,,,,,,,,,,,,,,
四川省,205.4,1202.6,402.4,360.4,489.9,,,,,,,,,,,,,,,
贵州省,198.0,129.0,65.8,249.2,178.6,,,,,,,,,,,,,,,
云南省,444.2,154.2,164.2,191.2,344.6,,,,,,,,,,,,,,,
西藏自治区,1.9,42.0,2.9,16.0,5.9,,,,,,,,,,,,,,,
陕西省,93.4,231.7,86.4,156.3,297.1,,,,,,,,,,,,,,,
甘肃省,74.6,542.7,134.0,79.0,222.7,,,,,,,,,,,,,,,
青海省,9.3,13.6,15.1,21.5,237.7,,,,,,,,,,,,,,,
宁夏回族自治区,16.6,15.4,8.3,16.4,13.6,,,,,,,,,,,,,,,
新疆维吾尔自治区,170.1,80.4,91.3,36.5,86.7,,,,,,,,,,,,,,,
数据来源：国家统计局
