数据库：分省年度数据
指标：农作物受灾面积(千公顷 )
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,53.3,26.9,71.2,56.1,3.1,,,,,,,,,,,,,,,
天津市,10.3,7.8,133.6,8.1,33.3,,,,,,,,,,,,,,,
河北省,1435.7,1106.5,1329.0,1383.3,1527.4,,,,,,,,,,,,,,,
山西省,1173.5,1592.4,931.0,1015.0,1395.7,,,,,,,,,,,,,,,
内蒙古自治区,1878.3,1733.1,2060.7,2036.6,2032.7,,,,,,,,,,,,,,,
辽宁省,1931.4,450.5,355.4,450.2,755.6,,,,,,,,,,,,,,,
吉林省,689.3,623.2,632.8,616.4,896.1,,,,,,,,,,,,,,,
黑龙江省,810.0,2734.1,2429.4,1536.8,1432.2,,,,,,,,,,,,,,,
上海市,,28.0,14.7,24.3,,,,,,,,,,,,,,,,
江苏省,554.1,487.1,697.5,1032.1,648.4,,,,,,,,,,,,,,,
浙江省,204.0,1326.9,554.2,431.1,282.5,,,,,,,,,,,,,,,
安徽省,641.3,1769.7,1152.5,1317.2,1751.6,,,,,,,,,,,,,,,
福建省,102.6,276.8,159.3,133.1,605.1,,,,,,,,,,,,,,,
江西省,487.1,1049.1,673.5,1075.3,2075.2,,,,,,,,,,,,,,,
山东省,886.1,1461.7,1822.6,2117.2,2582.3,,,,,,,,,,,,,,,
河南省,1905.2,1179.9,1388.8,1477.6,1568.1,,,,,,,,,,,,,,,
湖北省,1058.8,2487.9,1718.7,2580.0,2465.5,,,,,,,,,,,,,,,
湖南省,1136.1,3047.2,1233.9,2374.8,2841.3,,,,,,,,,,,,,,,
广东省,842.4,1134.5,417.2,501.7,724.3,,,,,,,,,,,,,,,
广西壮族自治区,1212.7,694.4,575.0,1437.9,1664.5,,,,,,,,,,,,,,,
海南省,309.4,164.7,60.5,516.6,306.2,,,,,,,,,,,,,,,
重庆市,280.9,455.3,405.4,816.0,574.5,,,,,,,,,,,,,,,
四川省,919.3,1602.9,943.9,1528.2,2324.0,,,,,,,,,,,,,,,
贵州省,626.7,1522.4,542.1,2570.2,1681.0,,,,,,,,,,,,,,,
云南省,882.0,1231.1,1578.3,1989.3,3215.0,,,,,,,,,,,,,,,
西藏自治区,12.9,22.1,14.4,17.8,51.3,,,,,,,,,,,,,,,
陕西省,772.2,813.4,508.9,762.5,1121.5,,,,,,,,,,,,,,,
甘肃省,1618.4,1282.9,1016.5,1266.6,1304.1,,,,,,,,,,,,,,,
青海省,169.8,171.2,154.9,285.5,111.3,,,,,,,,,,,,,,,
宁夏回族自治区,438.3,301.3,260.3,434.7,145.4,,,,,,,,,,,,,,,
新疆维吾尔自治区,1848.6,564.8,1125.8,420.6,917.4,,,,,,,,,,,,,,,
数据来源：国家统计局
