数据库：分省年度数据
指标：草原鼠害治理面积(千公顷 )
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,236.93,208.00,262.67,268.07,,,,,,,,,,,,,,,
山西省,,114.67,132.00,84.00,116.74,,,,,,,,,,,,,,,
内蒙古自治区,,1310.20,1286.00,1301.33,1567.86,,,,,,,,,,,,,,,
辽宁省,,193.00,216.67,151.33,140.60,,,,,,,,,,,,,,,
吉林省,,268.67,332.00,470.00,466.67,,,,,,,,,,,,,,,
黑龙江省,,128.00,109.33,120.00,110.67,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,935.00,904.00,339.33,459.67,,,,,,,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,157.33,228.00,960.00,360.67,,,,,,,,,,,,,,,
陕西省,,208.47,191.33,204.67,186.67,,,,,,,,,,,,,,,
甘肃省,,884.67,494.00,458.00,492.20,,,,,,,,,,,,,,,
青海省,,1129.33,1162.00,828.00,802.13,,,,,,,,,,,,,,,
宁夏回族自治区,,589.07,550.00,92.00,44.67,,,,,,,,,,,,,,,
新疆维吾尔自治区,,1429.93,1235.33,1585.33,1252.32,,,,,,,,,,,,,,,
数据来源：国家统计局
