数据库：分省年度数据
指标：薪炭林当年造林面积(千公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,0.40,,,,0.10,0.40,0.22,1.20,1.95,,,,,,,,,
山西省,15.33,9.66,13.19,5.95,6.34,10.00,,,0.10,0.10,0.40,,,,,,,,,
内蒙古自治区,,,2.13,,,1.30,2.30,0.20,0.57,,1.33,,,,,,,,,
辽宁省,,,0.00,0.06,,0.20,,0.05,0.01,0.90,7.11,,,,,,,,,
吉林省,0.01,,,,,,,,0.18,0.50,0.79,,,,,,,,,
黑龙江省,0.07,0.00,0.05,0.26,0.80,,0.10,0.10,0.01,0.01,1.86,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,0.13,,,1.40,,,,,,,,,,,,
浙江省,0.00,0.22,0.44,,,,,,0.02,0.10,0.10,,,,,,,,,
安徽省,0.43,0.72,0.15,0.33,0.47,,,,0.00,0.70,2.00,,,,,,,,,
福建省,0.00,0.27,0.00,0.29,0.03,,0.10,0.04,0.18,0.20,0.11,,,,,,,,,
江西省,1.03,0.14,0.55,1.62,2.12,1.70,0.30,0.50,0.25,0.30,0.99,,,,,,,,,
山东省,,,,,,,,0.10,0.01,0.60,0.23,,,,,,,,,
河南省,0.67,,0.00,0.67,,,,,0.20,0.70,1.06,,,,,,,,,
湖北省,0.01,0.11,0.22,0.03,1.85,1.20,0.10,,0.01,1.90,1.01,,,,,,,,,
湖南省,1.39,2.16,0.00,1.11,0.55,1.10,,,0.20,0.01,0.30,,,,,,,,,
广东省,0.09,,0.00,0.20,,,0.10,,0.00,0.60,,,,,,,,,,
广西壮族自治区,,,,,0.00,0.70,,,0.00,0.00,0.04,,,,,,,,,
海南省,,,,,0.04,,,0.03,,0.20,0.30,,,,,,,,,
重庆市,9.70,3.45,3.34,3.66,1.97,1.80,,,0.07,1.10,0.51,,,,,,,,,
四川省,,,0.00,0.67,,0.30,0.20,0.40,0.61,0.80,1.00,,,,,,,,,
贵州省,6.83,4.33,4.91,2.37,1.03,0.70,0.20,0.40,0.33,,,,,,,,,,,
云南省,0.37,0.88,1.20,9.29,1.13,0.60,0.10,,0.03,1.30,16.17,,,,,,,,,
西藏自治区,,,1.48,7.95,,,,,0.12,1.10,,,,,,,,,,
陕西省,0.13,,,,0.13,2.90,,3.80,3.06,1.10,8.41,,,,,,,,,
甘肃省,0.38,,1.20,,,,,,0.10,,0.35,,,,,,,,,
青海省,,,8.60,,,,,,0.04,0.30,0.64,,,,,,,,,
宁夏回族自治区,,,,,,,,,0.06,1.40,0.67,,,,,,,,,
新疆维吾尔自治区,0.51,2.95,3.31,2.36,2.30,1.00,0.30,0.60,0.59,0.70,2.64,,,,,,,,,
数据来源：国家统计局
