数据库：分省年度数据
指标：特种用林当年造林面积(千公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.32,0.64,1.09,0.70,1.18,1.80,1.80,1.10,1.30,1.80,1.91,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,0.39,1.46,0.63,0.03,1.00,2.20,1.50,0.70,0.20,0.20,0.20,,,,,,,,,
山西省,,,,,,,,,0.01,,,,,,,,,,,
内蒙古自治区,0.67,2.32,0.00,0.62,0.79,,,9.50,,,0.11,,,,,,,,,
辽宁省,,,0.03,0.05,0.03,,,0.01,,,0.09,,,,,,,,,
吉林省,,,0.00,0.04,0.07,,,0.10,,0.30,0.06,,,,,,,,,
黑龙江省,0.51,2.44,1.60,2.49,6.82,4.20,1.70,0.10,,0.70,2.03,,,,,,,,,
上海市,,,,,,,,0.05,,0.30,1.10,,,,,,,,,
江苏省,1.09,2.04,0.39,0.93,0.56,0.20,0.10,0.10,0.10,0.01,0.02,,,,,,,,,
浙江省,0.10,0.33,1.17,0.92,0.01,,,0.40,0.02,0.10,0.04,,,,,,,,,
安徽省,6.21,7.13,0.32,0.05,,0.20,,1.10,,0.10,0.69,,,,,,,,,
福建省,1.97,2.80,5.63,1.63,0.00,0.10,0.10,,0.04,0.10,0.00,,,,,,,,,
江西省,0.65,0.49,1.19,1.52,2.53,0.70,1.50,0.20,0.20,0.50,0.06,,,,,,,,,
山东省,2.13,1.76,1.31,2.38,1.30,0.50,0.40,0.30,0.60,0.80,0.31,,,,,,,,,
河南省,0.08,,0.43,0.91,0.26,,,,0.10,0.20,,,,,,,,,,
湖北省,1.57,2.06,0.86,3.48,2.32,0.50,0.80,,,0.70,0.48,,,,,,,,,
湖南省,5.10,1.74,0.21,2.01,0.72,0.70,0.10,0.30,0.40,1.00,0.78,,,,,,,,,
广东省,1.41,1.01,1.06,0.14,0.08,,,,,0.01,0.18,,,,,,,,,
广西壮族自治区,1.70,0.84,1.58,0.25,0.34,0.10,,,,0.01,0.09,,,,,,,,,
海南省,0.75,0.65,1.05,0.61,0.19,,0.10,0.00,0.20,0.05,0.09,,,,,,,,,
重庆市,0.02,1.68,1.61,0.59,0.69,,,,,,,,,,,,,,,
四川省,0.41,0.13,0.00,6.02,0.07,0.20,0.80,1.10,0.03,1.60,0.80,,,,,,,,,
贵州省,2.40,0.94,0.92,1.12,0.47,1.10,1.60,1.30,0.10,0.03,0.02,,,,,,,,,
云南省,2.63,,0.28,0.10,1.16,1.30,0.90,2.20,0.30,,0.42,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,8.30,5.03,6.82,6.33,5.87,13.30,8.20,2.30,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,0.05,,,,,,,,,,,,,,,
新疆维吾尔自治区,0.05,0.02,0.18,0.47,0.26,,,0.10,0.01,0.10,0.01,,,,,,,,,
数据来源：国家统计局
