数据库：分省年度数据
指标：公路运输业就业人员数(人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,282196,273618,269366,46607,51532,50340,38236,34816,32215,28671
天津市,51638,51413,50326,17652,17526,18328,18720,13395,15119,14320
河北省,144943,138157,114234,85674,90642,92366,89132,91627,90565,91657
山西省,84807,82492,76692,49288,45638,47265,51412,51563,44563,43942
内蒙古自治区,69230,73428,44885,33902,33012,34027,32679,32674,31533,32480
辽宁省,136190,142378,96900,71020,65815,69565,66007,61846,62037,64804
吉林省,54719,60989,44849,25405,26025,28106,27285,28578,29905,35491
黑龙江省,74614,76624,77338,64459,64412,67053,69246,72635,69495,69662
上海市,209885,202798,174277,39038,24698,26152,16639,16531,16053,17807
江苏省,253433,239597,138456,93457,81189,80820,78302,80080,80101,81612
浙江省,165213,159724,151953,104126,89728,82866,72234,66572,64818,63864
安徽省,116732,112095,78565,56685,51578,50194,41791,45557,45937,54204
福建省,108676,105271,76966,44713,41650,39681,32975,19858,32295,31307
江西省,103656,106077,43973,38878,48205,49527,52461,47197,46152,45783
山东省,234715,234278,164478,107995,104576,101643,86503,79990,79899,83018
河南省,242084,234278,135835,98972,93380,91875,99008,107665,114698,123332
湖北省,156845,145880,97426,66202,62321,64266,64894,59313,81046,81500
湖南省,107524,103424,98687,66072,62099,61256,61897,64070,58690,61637
广东省,383629,380485,301012,186881,171423,158214,141857,136423,128693,124259
广西壮族自治区,79232,82659,77093,58675,59559,61968,61030,63006,56805,53587
海南省,19568,19638,15754,13015,11895,11177,10405,11310,11422,12437
重庆市,181971,165898,76734,54276,49304,47337,41853,35951,36131,37175
四川省,207857,195737,115329,79076,78388,84207,85883,83520,86798,86302
贵州省,54836,54795,36248,24528,25472,22971,23851,22979,24014,25044
云南省,78844,72439,56271,44317,44379,48441,43783,44942,46320,47248
西藏自治区,5573,4660,3790,2353,2840,3534,4123,4335,3546,3261
陕西省,111184,117312,52185,45776,45847,43617,45493,50008,51889,54996
甘肃省,48691,50523,38077,24757,28393,26264,24713,24065,24318,27871
青海省,14738,18818,14545,9952,9204,9694,9571,9144,9697,9755
宁夏回族自治区,15682,15857,14237,9013,8188,8671,7395,7429,7543,10095
新疆维吾尔自治区,82557,84780,41644,27067,27707,28547,28709,28270,30096,31904
数据来源：国家统计局
