数据库：分省年度数据
指标：城市公共交通业就业人员数(人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,,,,214722,217499,213184,178358,174992,175786,160137
天津市,,,,22500,23001,22079,20496,19771,15663,16214
河北省,,,,31688,29679,29411,27010,25026,21819,21400
山西省,,,,17568,17067,17373,17401,16686,16601,16880
内蒙古自治区,,,,12976,12440,12245,12373,11619,10919,10663
辽宁省,,,,37028,38102,36149,42723,43117,41256,43536
吉林省,,,,20058,17992,16992,15721,15083,15570,16642
黑龙江省,,,,16596,12061,11694,11867,13046,12677,13610
上海市,,,,163436,159943,157986,104882,104521,103478,105758
江苏省,,,,41710,43708,39534,37001,36645,39137,37414
浙江省,,,,42504,46627,47337,39994,36487,35009,31507
安徽省,,,,24674,24301,23845,29366,26570,26078,25892
福建省,,,,30930,29511,29333,27823,26544,19630,19478
江西省,,,,13323,12956,12288,8495,9578,12683,12521
山东省,,,,52790,51122,49827,47675,46409,43983,41674
河南省,,,,42914,39597,39368,36421,32520,36253,34700
湖北省,,,,37338,38939,36527,34093,34297,35820,35040
湖南省,,,,30693,25477,29537,28083,27921,24540,21985
广东省,,,,150678,128174,113147,88718,87408,87894,91116
广西壮族自治区,,,,15021,16264,16635,15291,16359,16018,15427
海南省,,,,3395,3375,2900,3162,2258,2172,2056
重庆市,,,,20634,19376,17690,20049,21059,22175,22371
四川省,,,,32658,32556,32012,30663,32891,31774,32585
贵州省,,,,14979,13043,13304,11397,10635,9626,9537
云南省,,,,14870,14597,14779,12913,11777,11122,10651
西藏自治区,,,,1573,401,464,435,471,226,197
陕西省,,,,25063,18651,18458,12408,9372,10431,9415
甘肃省,,,,12774,12664,12942,11819,11957,21160,15712
青海省,,,,4096,4192,4267,4612,4703,4566,4700
宁夏回族自治区,,,,4118,4055,3666,3386,2962,2348,1914
新疆维吾尔自治区,,,,15777,12263,13000,12707,13066,13213,15400
数据来源：国家统计局
