数据库：分省年度数据
指标：管道运输业就业人员数(人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,6183,5947,2715,2480,2325,1937,1857,125,122,121
天津市,232,235,233,218,216,114,113,184,91,91
河北省,647,567,1586,1669,1694,2054,1314,1082,1015,1054
山西省,440,423,322,,,,,,,
内蒙古自治区,,,,,,,,,,
辽宁省,3112,3839,3749,3535,2418,2838,2082,3313,3107,3285
吉林省,1104,1117,1157,1406,1245,1418,1403,1407,1501,1371
黑龙江省,656,767,847,795,521,496,442,446,476,477
上海市,1389,1454,167,110,,,,,,
江苏省,11553,10381,15411,10442,11291,7808,7721,7523,7064,7066
浙江省,108,106,61,43,,,,,,
安徽省,,,,,,,,,,
福建省,12,12,913,843,,,,,,
江西省,276,808,603,5,,,,,,14
山东省,3326,3547,2446,1469,1507,1464,1605,1066,1154,1389
河南省,147,74,457,,,30,,,,
湖北省,738,788,940,1004,1035,927,1082,663,546,577
湖南省,170,169,88,88,124,85,,,,
广东省,270,319,251,184,176,176,161,163,165,136
广西壮族自治区,,72,92,,,,61,,,
海南省,30,30,,,,,,,,
重庆市,,,74,,1027,,,,156,126
四川省,621,618,746,775,735,732,750,889,907,810
贵州省,,,,,,,6,129,143,110
云南省,355,372,380,253,222,,3,3,3,3
西藏自治区,176,,,,,,,,,
陕西省,2391,2661,1183,1945,2066,841,108,110,555,552
甘肃省,55,51,,,,,,,,147
青海省,,,,,549,527,535,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,3639,3347,5341,5194,190,395,530,558,532,571
数据来源：国家统计局
