数据库：分省年度数据
指标：邮政业就业人员数(人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,79706,82206,66715,63673,37884,37218,34949,32560,28780,26494
天津市,6852,8479,7117,3805,3751,4247,4215,4572,4637,4756
河北省,32129,33311,28601,23970,27338,27721,16805,24210,23226,19912
山西省,22288,22449,19899,21041,16771,19890,17227,20276,19061,17879
内蒙古自治区,23734,23101,14409,13230,13244,13438,13344,12900,12107,12227
辽宁省,23283,23404,19521,20118,18829,17212,15796,18250,18891,19700
吉林省,19509,20901,12358,12182,11808,11754,11898,14055,14207,13408
黑龙江省,31334,30200,25732,24279,21544,23499,18747,21043,20762,21113
上海市,35052,32400,21248,33022,26548,25949,11700,13482,14101,14528
江苏省,59899,64419,37386,35053,30876,33584,22119,24131,23320,23953
浙江省,53162,55066,45245,38164,33917,30747,17734,20569,20080,20232
安徽省,30004,32275,21424,20281,18171,18478,12439,13483,13794,13214
福建省,29950,32842,18944,21244,18903,18445,16092,17590,16159,15630
江西省,21331,21578,14071,14165,13399,13874,12079,13378,16785,14908
山东省,51077,53203,25880,22846,23939,22539,17491,19500,19092,21840
河南省,31586,33954,15668,17954,23458,29322,18986,24981,24254,21366
湖北省,57998,54184,24061,21474,17790,18028,13769,16866,16366,16462
湖南省,39954,39273,30069,22545,18284,20543,19038,21129,18312,18278
广东省,147963,167041,83968,58108,35608,36328,33242,36931,36132,36594
广西壮族自治区,23903,27251,18579,19998,16810,15659,12794,13980,11917,12458
海南省,4411,4760,4133,3856,3208,3540,3075,2731,3039,2686
重庆市,30250,29627,27330,13867,10968,10237,7541,7608,10596,10398
四川省,72163,74003,25818,24936,24979,26492,19439,21009,19902,18019
贵州省,10448,12257,12472,14040,13456,13612,10343,9614,8435,7518
云南省,17094,17442,13765,12817,12466,12173,12044,10688,11021,11030
西藏自治区,2046,1901,1971,1897,2395,2081,1538,1645,2161,2028
陕西省,35877,39057,13262,12669,12497,19315,17393,16171,18084,14650
甘肃省,13577,17139,10579,10229,9424,9220,8974,6921,6594,6522
青海省,3682,3833,2653,2515,2231,2648,1518,1776,1922,1993
宁夏回族自治区,4225,4711,3787,2723,2012,2628,2199,3331,3102,2466
新疆维吾尔自治区,14807,14328,11944,11563,11379,12266,11431,12258,11959,12172
数据来源：国家统计局
