数据库：分省年度数据
指标：铁路运输业就业人员数(人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,110883,99577,114534,123906,116901,117802,97147,97235,87695,59276
天津市,21202,21298,27381,18118,19804,19477,14838,15642,16257,19568
河北省,57000,51533,57197,60746,60233,63144,64168,63030,75136,77699
山西省,123050,114927,110408,113638,107817,110274,109100,108131,107516,102135
内蒙古自治区,108515,108259,95616,90998,92318,88745,84812,88770,81222,87248
辽宁省,119016,119040,118775,105480,102274,136249,136513,133788,111074,125566
吉林省,67959,68771,67513,65005,69227,74633,77429,72373,71198,78373
黑龙江省,135965,139143,120954,118662,118915,121209,116988,117417,120681,118890
上海市,42045,45222,30925,29494,27223,26774,25124,25094,25701,24468
江苏省,24197,23336,35325,48041,61423,60518,63048,58945,59902,61843
浙江省,29421,28105,28330,25520,25788,25256,21033,21037,23989,25349
安徽省,40656,42541,41733,42532,37140,33977,33035,31667,31825,28536
福建省,40401,40309,41037,37391,33765,32483,26698,28436,28761,30951
江西省,61338,61574,60757,61098,64038,64717,57483,58845,57727,58042
山东省,81304,82442,74684,71566,70233,70089,64034,76571,69993,60219
河南省,117956,120139,116531,102656,103114,98233,103236,107062,101546,110594
湖北省,86947,83833,83437,89021,88502,151764,137976,127487,70165,73836
湖南省,77848,76901,77023,76063,76653,77668,71727,71436,72584,73671
广东省,62602,27452,64067,59636,60660,58741,46922,51012,53057,54457
广西壮族自治区,65814,66108,56860,54533,53163,49699,43357,44833,45537,46222
海南省,5240,5034,4398,4492,4253,3813,2383,3546,3560,3305
重庆市,28304,28535,25771,22963,25009,23768,27258,21885,21249,26302
四川省,63606,60521,53426,49363,54950,53892,44916,46876,47224,44203
贵州省,32061,31797,31290,31854,29146,29112,27317,29338,29076,30843
云南省,38552,37662,37939,39624,41108,46160,38021,36281,39792,38642
西藏自治区,85,67,49,49,162,162,153,155,145,
陕西省,115063,65992,98615,102569,101513,99631,93282,97622,92679,91232
甘肃省,53722,51684,47346,47445,45864,46446,45240,45312,45759,50693
青海省,19513,22259,14898,15004,13108,13246,13047,14380,13775,14509
宁夏回族自治区,16058,16964,14464,13208,12046,13278,12183,12244,12009,13255
新疆维吾尔自治区,56177,55357,41984,40867,40035,39187,34441,34579,35886,35661
数据来源：国家统计局
