数据库：分省年度数据
指标：公路营运载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,5.80,5.48,4.92,4.29,3.12,3.54,2.94,2.87,2.42,0.53
天津市,0.91,0.93,0.93,0.93,0.86,0.82,0.79,0.73,0.67,0.61
河北省,2.65,2.97,3.23,2.99,3.01,8.86,8.44,8.13,7.58,2.17
山西省,1.42,1.40,1.48,1.52,1.54,2.08,2.12,1.66,1.68,2.13
内蒙古自治区,1.27,1.29,1.28,1.23,1.22,6.26,5.69,5.62,5.29,4.22
辽宁省,2.60,2.52,2.73,2.70,2.56,10.62,10.48,10.29,10.84,1.81
吉林省,1.43,1.43,1.42,1.31,1.29,8.63,5.21,4.93,4.79,4.63
黑龙江省,1.68,1.81,2.07,2.01,2.16,10.78,10.20,9.42,9.13,7.90
上海市,2.27,2.13,2.15,2.07,2.04,8.44,8.30,8.35,8.15,1.57
江苏省,4.53,4.40,4.42,4.09,3.96,9.26,8.83,8.48,8.05,8.60
浙江省,3.05,3.17,3.33,3.50,4.20,7.84,7.65,7.48,7.17,7.43
安徽省,3.35,3.44,3.81,3.77,3.68,8.63,8.20,7.87,7.61,4.35
福建省,1.82,1.88,2.03,2.02,2.04,3.56,3.45,3.47,3.37,3.26
江西省,1.72,1.80,1.90,1.86,1.77,2.74,2.60,2.43,2.36,2.34
山东省,2.99,3.22,3.47,3.44,3.77,11.70,11.05,10.87,10.60,10.11
河南省,4.94,5.00,4.95,4.86,4.94,8.24,7.69,7.50,7.60,7.49
湖北省,4.06,4.22,4.21,4.16,4.09,7.28,6.93,6.82,6.64,6.43
湖南省,4.87,4.83,4.69,4.63,4.37,4.33,4.28,4.98,5.28,5.85
广东省,4.05,4.31,4.40,4.21,4.22,13.44,12.78,12.13,11.28,5.95
广西壮族自治区,3.41,3.39,3.44,3.34,3.27,4.70,4.42,4.09,3.79,3.69
海南省,0.59,0.59,0.58,0.58,0.59,1.07,1.12,1.16,1.15,0.98
重庆市,1.97,1.92,2.26,2.18,2.11,3.64,3.43,3.31,3.32,3.25
四川省,5.33,5.33,5.21,5.09,5.05,7.67,8.11,7.77,7.62,7.80
贵州省,3.07,2.98,2.96,2.87,2.79,2.74,2.55,2.64,3.33,3.83
云南省,4.92,4.88,4.88,4.77,4.77,5.69,5.21,5.02,5.09,5.39
西藏自治区,0.52,0.51,0.51,0.51,0.48,0.71,0.70,0.68,0.63,0.54
陕西省,2.60,2.66,2.94,2.97,2.97,4.57,4.26,4.49,5.48,5.26
甘肃省,2.02,2.05,1.88,1.86,1.80,4.60,4.15,3.91,3.78,3.73
青海省,0.34,0.37,0.40,0.50,0.53,1.83,1.86,1.70,1.70,1.01
宁夏回族自治区,0.58,0.60,0.58,0.60,0.58,1.73,1.62,1.50,1.46,1.47
新疆维吾尔自治区,3.82,3.74,3.65,3.50,3.33,4.78,4.59,4.42,4.05,4.08
注：1.公路营运汽车拥有量在1999年为全国营运汽车，以前仅为公路部门营运汽车；2000-2004年为全国运输汽车(含营运和非营运汽车)；2005年起为全国营运。
　　　2.从2010年起，公路营运载客汽车不包括在公路运输管理部门管理并注册登记为公共汽车和出租汽车。
数据来源：国家统计局
