数据库：分省年度数据
指标：公路营运普通载货汽车吨位数(吨位)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,641935,558462,492984,429184,373500,493236,383766,328962,450119,420000
天津市,330750,271985,227420,200628,162200,173549,168220,242064,179809,241100
河北省,3549328,3714678,8583835,7438714,6358600,4492390,3346655,2415135,1670544,2243400
山西省,1941609,1834228,4056289,3563134,3071400,2429929,2108893,1420801,1396502,1189000
内蒙古自治区,1536676,1589671,2806429,2686249,2070000,1760107,1753913,1621135,1646844,1369000
辽宁省,2813654,2635284,3432691,3098600,2584900,2067511,1739151,1453764,1292135,1235000
吉林省,1424120,1321240,1726327,1515830,1282700,927248,772729,618422,522225,460500
黑龙江省,2029301,2237321,2802138,2480552,2081200,1391344,807868,554049,433860,475100
上海市,714099,674609,904925,828911,683400,637650,600279,568199,272880,537800
江苏省,3150301,2781570,4023469,3872064,3132800,2280408,1656920,1458605,1359041,1301800
浙江省,1283159,1293039,1666958,1539287,1499800,1255803,1018684,1028854,867474,663700
安徽省,2821097,2497007,4015249,3121167,2504800,1892368,1515155,1044463,917584,861400
福建省,829067,720931,932411,785045,746100,611547,503737,446765,385637,311700
江西省,1568010,1623998,1649413,1305689,1031800,756090,632848,519789,442970,406300
山东省,3729520,3713689,7329581,6627026,5532100,3595694,2836416,2443035,1963158,1884400
河南省,3929959,3728959,6148728,5612217,4663600,3540797,2308501,2050051,1722484,1469900
湖北省,1531853,1404576,1356965,1147889,1052000,910167,787684,696942,694075,655800
湖南省,1600642,1578490,1462165,1198285,1132300,1187369,923634,674934,585586,546000
广东省,2514088,2659711,2941441,3398396,2506900,2087127,1837957,1904106,1900754,1925900
广西壮族自治区,1938319,1660860,1598077,1477128,1199800,881888,661293,526016,498484,458500
海南省,166941,173647,187152,186499,147700,112063,77265,67768,53098,55900
重庆市,1294047,1153648,987773,968957,801100,600804,479649,465873,499243,409600
四川省,2359850,2165559,2067497,1861493,1460800,1160285,857426,795427,660632,684300
贵州省,935119,865302,700410,614839,534100,433270,329999,293815,266579,285700
云南省,2149832,1952623,1767831,1620716,1305800,1010771,810228,727097,705960,666500
西藏自治区,264528,215806,165406,145056,117000,92561,76874,90661,104763,106000
陕西省,1479895,1434053,1811506,1616956,1308000,1043435,610355,417315,365573,353000
甘肃省,1087490,991411,901411,796932,711700,466068,398067,359394,311731,350100
青海省,435389,323602,396087,342772,255600,216045,156911,127998,134279,137000
宁夏回族自治区,621930,684440,817147,776414,655000,491566,412955,299508,225490,182400
新疆维吾尔自治区,1741957,1622979,1673145,1478485,1265800,1028869,823580,776479,901827,934400
注：公路营运汽车拥有量在1999年为全国营运汽车，以前仅为公路部门营运汽车；2000-2004年为全国运输汽车(含营运和非营运汽车)；2005年起为全国营运。
数据来源：国家统计局
