数据库：分省年度数据
指标：新注册民用大型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.39,0.37,0.38,0.40,0.50,0.42,0.89,0.47,0.59,0.64
天津市,0.40,0.30,0.31,0.28,0.28,0.19,0.28,0.27,0.18,0.19
河北省,0.77,0.61,0.58,0.50,0.06,0.42,0.38,0.06,0.35,0.86
山西省,0.27,0.35,0.45,0.42,0.29,0.20,0.21,0.20,0.20,0.19
内蒙古自治区,0.22,0.32,0.33,0.31,0.25,0.25,0.28,0.07,0.03,0.15
辽宁省,0.48,0.87,0.62,0.69,0.61,0.53,0.35,0.36,0.41,0.37
吉林省,0.34,0.41,0.57,0.43,0.36,0.31,0.15,0.20,0.19,0.20
黑龙江省,0.47,0.54,0.52,0.54,0.52,0.43,0.32,0.06,0.29,0.27
上海市,0.77,0.47,0.36,0.37,0.65,0.57,0.39,0.54,0.65,0.47
江苏省,1.23,1.06,1.00,1.16,1.24,0.90,0.94,0.90,0.66,0.61
浙江省,0.67,0.81,0.82,0.77,0.82,0.62,0.65,0.50,0.55,0.48
安徽省,0.55,0.64,0.67,0.60,0.47,0.35,0.34,0.27,0.30,0.31
福建省,0.28,0.34,0.41,0.42,0.43,0.29,0.33,0.37,0.27,0.21
江西省,0.28,0.33,0.36,0.37,0.38,0.14,0.23,0.15,0.17,0.13
山东省,1.22,1.32,1.41,1.15,0.84,0.72,0.79,0.63,0.61,0.65
河南省,0.83,0.89,0.94,0.78,0.72,0.52,0.56,0.50,0.37,0.52
湖北省,0.61,0.80,0.70,0.55,0.65,0.45,0.45,0.26,0.38,0.34
湖南省,0.60,0.68,0.51,0.61,0.56,0.37,0.22,0.15,0.14,0.29
广东省,1.52,1.78,1.63,2.19,1.70,1.00,1.10,1.19,1.22,1.13
广西壮族自治区,0.34,0.31,0.32,0.41,0.36,0.35,0.08,0.32,0.23,0.26
海南省,0.09,0.13,0.19,0.21,0.22,0.10,0.10,0.05,0.04,0.05
重庆市,0.36,0.42,0.40,0.41,0.41,0.30,0.35,0.25,0.20,0.23
四川省,0.75,1.04,0.95,0.88,0.80,0.75,0.50,0.11,0.57,0.45
贵州省,0.35,0.37,0.27,0.31,0.22,0.16,0.18,0.18,0.19,0.15
云南省,0.28,0.33,0.29,0.26,0.27,0.21,0.24,0.22,0.17,0.16
西藏自治区,0.08,0.03,0.04,0.04,0.10,0.01,0.03,0.01,0.04,0.02
陕西省,0.34,0.54,0.40,0.43,0.42,0.35,0.30,0.24,0.25,0.17
甘肃省,0.23,0.27,0.31,0.27,0.25,0.22,0.15,0.18,0.15,0.15
青海省,0.06,0.13,0.10,0.07,0.09,0.06,0.00,0.00,0.05,0.01
宁夏回族自治区,0.05,0.09,0.13,0.11,0.10,0.08,0.11,0.08,0.06,0.09
新疆维吾尔自治区,0.33,0.35,0.41,0.37,0.28,0.22,0.02,0.29,0.03,0.20
数据来源：国家统计局
