数据库：分省年度数据
指标：新注册民用中型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,1.04,1.04,0.77,0.71,0.28,0.27,0.27,0.29,0.30,0.37
天津市,0.14,0.11,0.12,0.12,0.13,0.09,0.09,0.14,0.13,0.12
河北省,0.29,0.28,0.26,0.26,0.03,0.18,0.17,0.04,0.30,0.67
山西省,0.13,0.15,0.17,0.18,0.16,0.12,0.13,0.17,0.19,0.24
内蒙古自治区,0.08,0.08,0.09,0.11,0.09,0.07,0.10,0.04,0.02,0.09
辽宁省,0.14,0.24,0.22,0.35,0.39,0.35,0.22,0.27,0.39,0.44
吉林省,0.11,0.15,0.17,0.15,0.15,0.12,0.08,0.14,0.12,0.12
黑龙江省,0.12,0.18,0.18,0.22,0.21,0.21,0.16,0.03,0.16,0.19
上海市,0.35,0.26,0.27,0.30,0.38,0.31,0.30,0.54,0.82,0.98
江苏省,0.35,0.39,0.41,0.49,0.48,0.36,0.34,0.58,0.65,0.81
浙江省,0.36,0.31,0.29,0.37,0.44,0.39,0.45,0.59,0.54,0.74
安徽省,0.24,0.26,0.27,0.27,0.29,0.22,0.24,0.23,0.30,0.33
福建省,0.24,0.29,0.26,0.28,0.30,0.22,0.26,0.36,0.31,0.25
江西省,0.24,0.20,0.13,0.15,0.20,0.65,0.19,0.11,0.14,0.15
山东省,0.40,0.36,0.36,0.41,0.39,0.41,0.44,0.48,0.51,0.57
河南省,0.41,0.42,0.34,0.32,0.39,0.30,0.37,0.46,0.35,0.82
湖北省,0.33,0.40,0.32,0.21,0.27,0.23,0.28,0.18,0.32,0.34
湖南省,0.71,0.74,0.41,0.50,0.48,0.33,0.18,0.12,0.26,0.42
广东省,0.43,0.35,0.32,0.36,0.44,0.40,0.46,0.78,0.87,1.11
广西壮族自治区,0.11,0.11,0.10,0.14,0.13,0.15,0.03,0.20,0.15,0.14
海南省,0.05,0.05,0.04,0.07,0.08,0.06,0.05,0.04,0.03,0.03
重庆市,0.16,0.19,0.16,0.18,0.15,0.15,0.15,0.20,0.16,0.16
四川省,0.26,0.30,0.29,0.27,0.31,0.28,0.23,0.08,0.26,0.24
贵州省,0.30,0.28,0.24,0.23,0.27,0.26,0.26,0.27,0.19,0.17
云南省,0.28,0.25,0.22,0.19,0.20,0.19,0.27,0.33,0.31,0.30
西藏自治区,0.12,0.02,0.05,0.05,0.09,0.02,0.06,0.01,0.02,0.18
陕西省,0.21,0.24,0.22,0.27,0.39,0.28,0.22,0.18,0.30,0.22
甘肃省,0.11,0.12,0.10,0.11,0.14,0.10,0.07,0.12,0.11,0.10
青海省,0.05,0.05,0.04,0.06,0.06,0.05,0.00,0.00,0.03,0.02
宁夏回族自治区,0.02,0.04,0.03,0.04,0.05,0.04,0.03,0.04,0.05,0.07
新疆维吾尔自治区,0.19,0.26,0.27,0.29,0.29,0.15,0.02,0.20,0.03,0.14
数据来源：国家统计局
