数据库：分省年度数据
指标：地方铁路旅客周转量(亿人公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.12,0.11,0.10,0.05,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,,,,,
山西省,,,,,,,,,,
内蒙古自治区,,,,,,,,,,
辽宁省,0.06,0.06,0.08,0.08,0.08,0.09,0.10,0.06,0.05,0.06
吉林省,,,,,,,,,,
黑龙江省,2.29,2.86,3.21,3.04,2.95,2.74,2.60,2.33,1.93,1.43
上海市,,,,,,,,,,
江苏省,,,,,,,,,,
浙江省,,,,,,,,,,
安徽省,,,,,,,,,,
福建省,,,,,,,,,,
江西省,,,,,,,,,,
山东省,3.59,3.60,3.48,3.42,3.21,2.73,2.64,2.38,1.95,1.45
河南省,,,,,0.05,0.07,0.49,0.43,0.58,0.42
湖北省,,,,,,,,,,
湖南省,,,,,,,,,,
广东省,,,,,,,,,,
广西壮族自治区,,,,,,,,,,
海南省,,,,,,,,,,
重庆市,,,,,,,,,,
四川省,,,,,,,,,,
贵州省,,,,,,,,,,
云南省,1.20,0.65,,,,,,0.11,0.13,0.12
西藏自治区,,,,,,,,,,
陕西省,,,,,,,,,,
甘肃省,,,,,,,,,,
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,
数据来源：国家统计局
