数据库：分省年度数据
指标：民用大型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,5.38,5.23,5.00,4.78,4.58,4.45,4.43,3.97,3.84,3.64
天津市,2.64,2.44,2.26,2.23,2.01,1.90,1.79,1.65,1.52,1.41
河北省,4.33,4.50,5.07,4.71,4.38,4.15,3.76,3.40,3.09,2.92
山西省,2.84,2.82,2.74,2.78,2.49,2.33,2.17,2.00,1.82,1.70
内蒙古自治区,2.46,2.44,2.29,2.70,2.47,2.30,2.05,1.76,1.61,1.23
辽宁省,6.42,6.19,6.67,6.26,5.70,5.19,4.74,4.45,4.17,4.20
吉林省,3.64,3.45,2.89,3.27,2.95,2.70,2.39,2.21,2.05,1.93
黑龙江省,4.93,4.60,4.42,4.77,4.46,4.16,3.80,3.53,3.23,2.97
上海市,4.47,4.40,4.49,4.41,4.39,3.99,3.85,3.81,3.67,3.57
江苏省,9.53,9.26,8.89,8.35,7.58,6.83,6.21,5.65,5.08,4.54
浙江省,6.33,6.40,6.00,5.64,5.30,4.93,4.62,4.19,3.88,3.52
安徽省,4.54,4.24,3.91,4.16,3.82,3.63,3.46,3.28,3.09,2.87
福建省,2.88,2.84,2.81,2.68,2.47,2.24,2.08,1.92,1.79,1.56
江西省,2.56,2.50,2.26,2.53,2.30,2.06,1.87,1.73,1.61,1.49
山东省,9.67,9.71,9.33,8.90,7.95,7.22,6.54,5.91,5.34,4.83
河南省,12.16,6.48,6.14,6.90,6.19,5.81,5.46,5.28,4.77,4.62
湖北省,5.19,4.90,4.64,4.85,4.48,4.16,3.93,3.67,3.53,3.43
湖南省,4.43,4.07,3.81,4.22,3.91,3.68,3.52,3.46,3.10,2.92
广东省,15.41,15.62,15.84,14.88,13.41,12.37,11.84,11.21,10.35,9.99
广西壮族自治区,3.38,3.53,3.53,3.42,3.22,3.04,2.76,2.63,2.48,2.45
海南省,1.18,1.20,1.25,1.28,1.14,0.95,0.89,0.81,0.79,0.80
重庆市,2.95,2.89,2.70,2.49,2.48,2.28,2.14,2.08,2.11,2.03
四川省,6.92,6.85,6.48,6.01,5.65,5.44,5.05,4.81,4.56,4.42
贵州省,2.22,1.97,1.69,1.82,1.80,1.67,1.59,1.50,1.39,1.30
云南省,2.50,2.40,2.34,2.21,2.07,1.92,1.82,1.68,1.57,1.54
西藏自治区,0.39,0.36,0.71,0.84,0.56,0.48,0.19,0.25,0.44,0.18
陕西省,3.21,3.28,3.18,3.01,2.69,2.43,2.16,2.01,1.84,1.76
甘肃省,2.12,2.05,2.01,1.97,1.85,1.74,1.64,1.57,1.50,1.44
青海省,0.73,0.72,0.65,0.67,0.62,0.57,0.53,0.49,0.46,0.45
宁夏回族自治区,0.97,0.99,0.95,0.86,0.78,0.72,0.64,0.56,0.50,0.52
新疆维吾尔自治区,3.20,3.09,3.19,2.95,2.74,2.61,2.48,2.36,2.15,1.91
注：从2002年起，载客汽车和载货汽车拥有量的其中分项、其他汽车拥有量统计口径有调整与以前年份不可比。
数据来源：国家统计局
