数据库：分省年度数据
指标：民用其他汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,5.00,5.26,5.00,4.89,4.59,4.37,4.53,4.17,3.87,3.69
天津市,1.65,1.68,1.63,1.59,1.45,1.34,2.08,1.85,1.57,1.46
河北省,5.99,6.04,6.96,6.63,6.02,5.37,16.86,12.87,9.43,7.39
山西省,2.42,2.42,2.37,2.44,2.15,1.88,4.33,2.75,1.98,1.70
内蒙古自治区,2.36,2.44,2.41,2.53,2.09,1.71,6.08,4.89,4.02,2.49
辽宁省,3.48,3.61,4.03,3.74,3.22,2.87,6.11,4.77,4.58,2.86
吉林省,1.61,1.56,1.56,1.48,1.26,1.08,2.21,1.71,1.21,0.80
黑龙江省,2.66,2.73,2.60,2.46,2.15,1.91,4.35,3.13,2.36,1.95
上海市,6.89,6.79,6.22,6.01,5.46,0.00,,,,
江苏省,7.15,7.03,6.64,6.19,5.52,5.00,7.94,6.82,5.18,4.27
浙江省,4.49,4.63,4.46,4.22,3.93,3.61,5.52,4.86,4.15,3.50
安徽省,2.94,2.97,2.92,2.79,2.48,2.38,7.25,6.06,4.64,3.64
福建省,2.07,2.02,1.98,1.85,1.67,1.63,3.18,2.77,2.19,1.70
江西省,2.25,2.17,1.90,1.87,1.61,1.42,2.56,2.10,1.65,1.29
山东省,6.61,6.65,6.39,5.99,5.35,4.79,14.24,11.60,9.22,7.67
河南省,53.56,5.08,4.85,4.74,4.08,3.06,9.47,6.78,10.22,4.13
湖北省,3.65,3.49,3.19,3.05,2.69,2.44,3.91,2.92,2.39,1.88
湖南省,2.42,2.02,1.97,1.86,1.61,1.41,3.83,2.72,1.57,0.91
广东省,5.85,6.09,5.96,5.65,5.43,5.28,9.89,8.92,7.58,6.68
广西壮族自治区,2.32,2.61,2.46,2.27,2.11,1.98,2.71,2.31,1.87,1.66
海南省,0.56,0.56,0.60,0.53,0.44,0.37,0.42,0.34,0.81,0.25
重庆市,1.72,1.79,2.37,2.04,1.72,1.56,1.51,1.38,1.25,0.76
四川省,3.57,3.54,3.37,3.20,2.93,2.61,2.66,2.12,1.75,1.48
贵州省,1.78,1.46,1.17,0.99,0.84,0.73,0.71,0.59,0.49,2.96
云南省,2.15,2.01,1.89,1.68,1.44,1.16,1.24,1.05,0.88,0.74
西藏自治区,0.20,0.18,0.28,0.24,0.15,0.19,0.06,0.14,,
陕西省,3.38,3.68,3.48,3.14,2.68,2.29,3.75,2.71,1.81,1.55
甘肃省,1.61,1.57,1.40,1.29,1.15,0.98,1.31,1.16,0.95,0.81
青海省,0.76,0.77,0.70,0.63,0.54,0.44,0.56,0.41,0.33,0.26
宁夏回族自治区,1.05,1.09,1.00,0.90,0.76,0.68,1.43,1.12,0.73,0.69
新疆维吾尔自治区,3.77,3.84,3.57,3.09,2.62,2.36,3.92,3.29,2.82,2.49
数据来源：国家统计局
