数据库：分省年度数据
指标：机动车驾驶员人数(万人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,907.71,822.00,748.05,678.86,625.30,569.28,502.65,466.93,412.30,384.00
天津市,366.12,337.80,315.09,280.90,252.00,238.75,220.19,200.32,181.27,164.50
河北省,1573.42,1433.45,1357.88,1204.34,1058.89,1024.59,946.54,859.76,787.98,727.90
山西省,682.59,617.86,588.77,518.57,455.92,425.00,387.64,350.21,307.12,255.03
内蒙古自治区,573.67,529.94,512.63,456.21,332.77,432.67,380.27,87.39,280.38,364.28
辽宁省,1048.31,895.53,851.04,808.64,748.26,710.32,630.19,501.30,427.87,416.87
吉林省,591.83,529.88,514.70,470.84,461.41,390.27,405.83,372.06,340.16,297.69
黑龙江省,654.47,591.59,545.11,492.88,455.96,442.04,395.88,345.38,313.41,260.64
上海市,625.63,593.44,558.96,501.73,448.48,410.79,373.06,338.90,306.63,276.29
江苏省,2191.96,2023.29,1880.71,1701.45,1531.46,1460.95,1340.04,1222.93,1064.32,978.79
浙江省,1583.05,1422.23,1318.66,1197.49,1086.94,997.34,920.46,845.09,770.54,694.55
安徽省,1007.53,914.08,852.28,769.58,692.42,610.40,555.10,506.69,443.89,439.73
福建省,981.19,876.77,818.16,753.72,692.10,632.89,571.65,537.80,485.50,442.79
江西省,1027.24,938.26,875.23,775.07,695.35,631.69,560.15,488.94,423.63,357.98
山东省,2232.26,2020.29,1938.58,1749.40,1579.00,1505.60,1578.88,1305.50,1210.46,1096.06
河南省,1969.32,1614.28,1529.09,1405.64,1243.31,1469.22,1139.87,1003.63,930.86,762.52
湖北省,1128.85,1005.12,946.39,865.88,795.49,778.84,671.08,568.48,658.51,588.39
湖南省,1106.64,995.79,908.77,787.30,690.78,671.91,563.87,521.70,433.32,371.52
广东省,2642.32,2461.75,2339.40,2142.68,1956.02,1924.60,1799.83,1712.14,1610.05,1511.21
广西壮族自治区,1130.66,1066.94,995.64,943.78,429.97,373.33,350.81,312.69,565.28,524.87
海南省,199.38,173.95,163.53,148.70,138.72,115.51,101.31,96.13,86.08,94.88
重庆市,579.36,521.39,473.29,407.39,321.43,266.63,232.69,208.52,189.21,169.25
四川省,1616.35,1480.11,1375.30,1254.23,1137.66,1021.76,857.01,749.13,666.90,558.55
贵州省,525.03,454.85,415.77,359.80,313.33,288.13,258.41,224.61,193.56,156.94
云南省,1010.93,919.61,845.48,757.96,716.08,649.54,578.16,487.36,393.65,375.33
西藏自治区,25.63,24.47,22.50,20.82,18.16,20.73,17.05,14.80,12.22,12.37
陕西省,818.80,731.12,680.15,588.84,507.35,486.63,435.66,323.58,280.16,316.81
甘肃省,352.27,312.05,280.05,237.06,200.66,174.90,148.91,133.25,117.73,174.19
青海省,130.14,90.96,100.19,91.67,81.77,74.14,72.03,52.63,50.15,56.66
宁夏回族自治区,155.12,142.05,117.71,102.99,90.42,81.82,75.96,62.96,53.60,62.88
新疆维吾尔自治区,454.54,415.06,381.72,343.20,311.07,287.31,265.39,238.43,217.15,176.06
数据来源：国家统计局
