数据库：分省年度数据
指标：汽车驾驶员人数(万人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,889.07,805.70,731.40,661.78,607.24,549.84,494.06,445.88,402.07,370.41
天津市,254.48,335.01,311.36,277.90,245.42,226.69,207.07,186.89,167.44,153.14
河北省,1495.97,1344.02,1260.86,1100.43,952.95,899.13,822.84,743.94,683.02,458.88
山西省,661.41,593.07,543.93,482.93,417.01,376.56,338.44,296.24,275.05,204.53
内蒙古自治区,511.80,465.64,448.65,391.07,280.67,311.54,277.85,27.90,252.23,261.71
辽宁省,936.55,783.63,763.91,705.84,624.25,557.63,508.05,348.67,358.00,335.01
吉林省,517.19,447.88,428.41,378.26,360.77,291.81,313.53,288.61,260.89,239.81
黑龙江省,610.99,546.09,498.63,446.63,407.12,391.77,349.16,289.08,257.00,239.42
上海市,602.57,531.41,531.41,468.97,412.56,362.78,319.29,279.41,296.56,208.27
江苏省,1844.30,1636.33,1458.71,1243.31,1045.89,912.03,790.21,689.04,587.80,395.38
浙江省,1422.09,1242.44,1114.49,962.55,824.22,716.16,631.37,554.23,485.04,431.19
安徽省,844.12,731.02,650.47,555.17,475.65,411.17,364.64,328.08,293.63,258.40
福建省,666.65,586.15,533.87,461.83,395.26,335.71,248.55,242.62,201.19,176.70
江西省,692.41,590.77,540.75,453.18,391.19,356.13,313.48,273.03,109.19,108.94
山东省,2083.99,1845.19,1729.43,1487.14,1280.41,1137.20,1127.40,872.50,751.81,619.43
河南省,1816.97,1357.16,1250.04,1107.56,958.96,897.36,731.31,579.90,523.10,387.15
湖北省,886.45,753.41,695.33,617.04,555.54,547.86,494.34,442.40,396.26,373.74
湖南省,815.86,700.84,622.65,516.55,444.21,410.63,350.76,335.00,261.00,248.06
广东省,2120.21,1917.08,1772.66,1544.40,1343.29,1214.71,1084.51,967.92,865.44,783.99
广西壮族自治区,678.81,609.92,544.57,460.29,400.82,346.30,326.15,290.30,258.17,247.83
海南省,135.47,116.48,129.13,93.26,86.37,84.60,75.42,68.37,62.05,46.34
重庆市,407.13,338.58,294.65,245.45,210.32,196.01,174.94,157.75,141.77,127.14
四川省,1181.92,1051.61,963.35,856.99,767.82,711.76,604.87,522.85,461.18,406.63
贵州省,397.52,347.40,321.53,275.68,239.15,217.19,197.54,174.21,147.91,118.70
云南省,641.38,568.87,519.59,455.98,407.30,378.46,342.79,308.87,274.75,253.51
西藏自治区,21.64,20.46,18.63,18.65,16.04,18.35,15.76,12.92,11.12,10.22
陕西省,738.26,647.57,595.59,502.48,424.02,389.15,339.40,241.98,215.89,208.62
甘肃省,319.32,279.15,248.18,206.71,172.59,148.77,126.21,112.89,97.71,132.18
青海省,99.08,88.27,81.52,72.64,62.64,57.40,52.60,35.04,32.58,32.50
宁夏回族自治区,132.44,114.72,106.67,90.35,76.39,66.81,56.02,43.41,38.47,32.45
新疆维吾尔自治区,386.01,346.84,318.16,275.71,243.82,219.22,198.24,172.30,148.94,147.49
数据来源：国家统计局
