数据库：分省年度数据
指标：民用中型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,10.50,10.61,10.78,10.70,10.29,10.32,10.78,10.84,10.87,10.89
天津市,1.73,1.69,1.77,2.73,2.67,2.63,2.61,2.63,2.60,2.58
河北省,2.38,3.18,4.14,4.10,3.98,3.90,3.63,3.40,3.08,2.75
山西省,1.66,1.82,2.10,2.88,2.95,3.06,3.00,2.91,2.78,2.73
内蒙古自治区,1.02,1.04,1.15,2.11,2.04,2.04,2.01,1.99,1.90,1.78
辽宁省,5.29,5.60,9.61,10.00,9.81,9.51,9.14,9.07,9.58,8.54
吉林省,1.88,1.87,1.87,2.61,2.51,2.41,2.19,2.02,1.83,1.67
黑龙江省,2.80,2.69,2.97,4.06,3.95,3.86,3.65,3.51,3.38,3.30
上海市,4.26,4.99,5.26,5.58,5.88,6.36,6.83,7.36,7.67,8.00
江苏省,8.29,9.69,10.54,10.83,10.66,11.03,10.90,10.92,10.45,9.72
浙江省,5.67,6.84,7.00,7.15,7.28,7.47,7.66,7.71,7.56,7.28
安徽省,2.93,3.05,3.29,4.88,4.94,4.98,4.92,4.69,4.43,4.10
福建省,3.26,3.48,3.89,4.02,3.97,3.89,3.82,3.76,3.57,3.12
江西省,1.86,1.97,1.84,2.78,2.68,2.74,2.58,2.34,2.15,1.99
山东省,5.71,7.07,8.40,10.07,9.89,9.65,9.19,8.89,8.51,8.25
河南省,10.15,4.48,5.05,8.39,8.09,8.04,7.81,7.52,7.13,6.83
湖北省,4.02,4.09,4.28,5.26,5.30,5.22,5.07,4.78,4.47,4.22
湖南省,4.79,4.43,4.59,4.96,4.85,4.75,4.55,3.87,3.57,3.17
广东省,13.58,16.88,19.42,20.01,20.28,20.49,20.53,20.56,20.15,20.47
广西壮族自治区,1.89,2.45,2.52,2.44,2.32,2.22,2.09,1.98,1.86,1.81
海南省,0.65,0.78,0.89,0.94,0.89,0.82,0.76,0.70,0.65,0.60
重庆市,1.37,1.43,1.53,1.54,1.76,1.76,1.72,1.70,1.80,1.64
四川省,2.98,3.18,3.32,3.36,3.42,3.50,3.45,3.43,3.41,3.48
贵州省,2.23,2.13,2.08,2.36,2.54,2.38,2.20,2.01,1.86,1.79
云南省,2.69,2.82,3.26,3.31,3.29,3.32,3.30,3.21,3.15,2.91
西藏自治区,0.52,0.56,0.95,0.82,0.76,0.76,0.43,0.45,0.57,0.42
陕西省,2.13,2.44,3.06,3.50,3.50,3.42,3.36,3.42,3.42,3.16
甘肃省,1.32,1.36,1.47,1.51,1.48,1.45,1.41,1.44,1.40,1.40
青海省,0.59,0.60,0.62,0.70,0.64,0.61,0.60,0.54,0.54,0.60
宁夏回族自治区,0.64,0.69,0.69,0.70,0.66,0.63,0.59,0.58,0.58,0.56
新疆维吾尔自治区,3.25,3.19,3.42,3.13,2.80,2.57,2.43,2.27,2.08,1.89
注：从2002年起，载客汽车和载货汽车拥有量的其中分项、其他汽车拥有量统计口径有调整与以前年份不可比。
数据来源：国家统计局
