数据库：分省年度数据
指标：私人微型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.00,,,0.00,0.00,,,0.01,0.03,0.16
天津市,0.07,0.07,0.07,0.07,0.09,0.19,0.27,0.36,0.58,0.66
河北省,0.55,0.58,0.76,0.78,0.97,1.31,1.60,1.93,2.37,3.38
山西省,0.56,0.59,0.67,1.18,1.29,1.37,1.44,1.42,1.67,2.56
内蒙古自治区,0.24,0.25,0.32,0.42,0.47,0.55,0.60,0.66,0.71,0.89
辽宁省,0.13,0.15,0.20,0.27,0.33,0.46,0.55,0.70,0.65,0.82
吉林省,0.13,0.20,0.16,0.22,0.27,0.34,0.40,0.39,0.34,0.34
黑龙江省,0.18,0.19,0.37,0.48,0.61,0.80,0.96,1.13,1.31,1.50
上海市,0.00,0.00,,0.00,0.00,,,,,
江苏省,0.13,0.14,0.16,0.20,0.27,0.39,0.48,0.56,0.71,1.02
浙江省,1.27,1.29,1.48,1.87,2.20,2.63,3.01,3.38,3.63,4.36
安徽省,0.21,0.24,0.30,0.37,0.43,0.57,0.70,0.74,0.83,0.99
福建省,0.50,0.61,0.63,0.75,0.90,1.05,1.18,1.43,1.68,1.96
江西省,0.09,0.12,0.12,0.18,0.24,0.31,0.37,0.37,0.40,0.45
山东省,0.41,0.45,0.52,0.78,1.07,1.57,1.99,2.52,3.36,3.97
河南省,5.09,0.41,0.53,0.81,0.93,1.20,1.37,1.96,2.84,3.51
湖北省,0.20,0.35,0.12,0.30,0.44,0.57,0.74,0.91,1.15,1.88
湖南省,0.14,0.15,0.17,0.18,0.19,0.23,0.27,0.30,0.37,0.60
广东省,3.19,3.06,2.89,2.85,2.68,2.37,2.38,2.62,2.96,3.39
广西壮族自治区,0.62,0.65,0.67,0.72,0.77,0.82,0.84,0.78,0.81,1.60
海南省,0.03,0.03,0.03,0.05,0.07,0.11,0.14,0.17,0.20,0.23
重庆市,0.00,0.01,0.01,0.01,0.13,0.13,0.16,0.59,0.85,0.88
四川省,0.16,0.20,0.24,0.34,0.47,0.72,0.85,1.05,1.55,2.58
贵州省,0.09,0.10,0.11,0.38,0.64,0.66,0.68,0.71,0.87,2.08
云南省,0.09,0.09,0.12,0.16,0.23,0.35,0.62,0.84,1.20,3.03
西藏自治区,0.09,0.10,0.10,0.14,0.17,0.18,0.24,0.22,0.16,0.19
陕西省,0.14,0.17,0.20,0.25,0.28,0.37,0.48,0.67,0.79,1.70
甘肃省,0.04,0.04,0.05,0.06,0.08,0.11,0.13,0.15,0.19,0.26
青海省,0.03,0.03,0.04,0.05,0.06,0.09,0.12,0.14,0.16,0.22
宁夏回族自治区,0.07,0.07,0.08,0.10,0.12,0.14,0.15,0.16,0.17,0.22
新疆维吾尔自治区,0.17,0.20,0.22,0.28,0.38,0.52,0.58,0.55,0.53,0.53
数据来源：国家统计局
