数据库：分省年度数据
指标：私人微型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,9.53,12.53,15.46,17.47,18.85,17.85,19.74,20.07,20.31,20.45
天津市,9.37,10.36,10.19,10.15,9.83,9.64,9.35,9.35,9.35,9.33
河北省,40.63,42.11,46.65,44.73,40.97,36.54,31.61,29.61,28.62,26.83
山西省,16.41,17.54,18.32,19.22,17.92,16.37,14.37,12.79,11.54,10.24
内蒙古自治区,8.85,9.09,8.87,8.53,7.94,7.27,6.71,6.41,6.25,5.78
辽宁省,7.35,7.67,7.66,7.15,6.38,5.67,4.95,5.00,6.44,4.00
吉林省,7.42,7.55,7.43,7.33,7.22,6.86,6.57,6.35,5.97,5.61
黑龙江省,6.63,7.06,7.67,7.64,7.45,7.02,6.66,6.58,6.51,6.12
上海市,1.65,3.09,3.15,3.12,3.17,3.07,3.00,3.04,3.00,2.90
江苏省,15.87,18.32,18.79,18.14,17.14,16.48,15.48,15.01,14.45,13.48
浙江省,13.76,16.89,16.97,16.31,15.21,14.14,13.20,12.94,12.81,12.49
安徽省,3.94,4.82,6.51,6.68,6.29,6.03,5.69,5.43,5.32,5.27
福建省,5.69,5.74,5.75,5.45,4.99,4.53,4.10,3.90,3.72,3.34
江西省,3.38,3.88,3.90,3.74,3.50,3.17,2.80,2.73,2.67,2.45
山东省,43.66,49.42,48.67,45.75,42.59,38.32,33.21,30.40,28.77,26.35
河南省,26.37,23.83,23.26,22.57,21.12,19.63,18.09,17.42,16.55,15.59
湖北省,3.26,3.59,3.48,3.33,3.07,2.76,2.51,2.44,2.37,2.25
湖南省,5.24,5.43,5.63,5.45,4.98,4.49,4.25,3.88,3.65,3.35
广东省,11.19,11.84,11.74,11.00,9.87,8.58,7.88,7.68,7.42,7.10
广西壮族自治区,7.43,8.43,8.19,7.96,7.67,7.28,6.72,6.32,5.94,5.50
海南省,0.53,0.52,0.49,0.46,0.39,0.33,0.29,0.28,0.26,0.24
重庆市,1.04,1.93,2.18,2.21,2.39,2.36,2.33,2.42,2.54,2.58
四川省,25.01,28.32,30.18,31.41,32.16,32.58,30.74,29.41,31.80,27.07
贵州省,3.38,4.72,5.22,5.39,6.21,5.87,5.62,5.58,5.54,5.58
云南省,11.38,11.97,14.37,14.15,13.69,13.21,12.86,12.59,12.16,11.54
西藏自治区,0.40,0.35,0.60,0.61,0.52,0.54,0.31,0.29,0.21,0.21
陕西省,9.87,10.86,10.53,10.02,9.26,8.34,7.43,6.85,6.58,5.63
甘肃省,1.28,1.45,1.47,1.38,1.22,1.18,1.18,1.29,1.38,1.57
青海省,0.58,0.68,0.63,0.55,0.48,0.46,0.51,0.48,0.50,0.50
宁夏回族自治区,0.78,0.84,0.81,0.77,0.70,0.65,0.61,0.64,0.68,0.72
新疆维吾尔自治区,2.94,3.02,2.98,2.83,2.51,2.18,1.91,1.77,1.66,1.59
数据来源：国家统计局
