数据库：分省年度数据
指标：私人汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,435.79,424.95,405.55,387.29,371.51,296.56,244.27,207.94,176.24,149.31
天津市,235.15,224.36,185.54,155.46,125.70,100.01,79.89,66.61,54.82,45.02
河北省,834.90,719.46,624.04,510.61,404.16,312.22,239.55,201.66,163.88,133.36
山西省,367.02,318.88,270.45,230.20,186.60,148.86,118.35,93.12,73.58,58.77
内蒙古自治区,300.49,263.86,223.66,188.08,147.47,114.36,87.81,70.19,56.82,44.25
辽宁省,416.98,355.94,304.82,250.59,198.81,152.17,111.63,91.47,75.03,57.91
吉林省,242.18,206.13,170.19,141.36,114.49,88.50,65.10,55.16,42.46,35.88
黑龙江省,265.03,231.06,201.37,172.02,139.65,108.20,77.88,63.24,51.69,43.88
上海市,183.30,163.23,141.16,119.75,103.71,85.03,72.04,61.29,50.94,41.00
江苏省,927.48,780.43,646.69,528.86,418.13,317.52,240.28,193.85,148.37,109.43
浙江省,869.95,763.87,643.34,534.70,431.52,332.05,258.55,216.41,172.41,135.08
安徽省,335.40,274.57,223.41,178.46,136.85,100.72,73.46,57.23,44.42,35.41
福建省,329.53,277.49,230.88,189.60,151.93,118.13,91.74,74.57,56.99,42.07
江西省,234.17,190.71,149.58,117.18,87.38,60.61,40.01,30.88,23.37,17.55
山东省,1191.62,1039.55,877.56,708.53,577.11,433.94,315.72,254.06,199.24,136.07
河南省,775.77,580.64,467.80,383.63,294.76,220.18,162.58,132.70,105.59,83.85
湖北省,349.64,282.94,227.45,185.38,148.65,113.26,83.30,66.37,52.37,43.47
湖南省,384.71,318.49,261.59,212.89,169.24,128.17,93.63,74.18,58.83,48.19
广东省,1149.83,995.93,863.46,745.37,628.12,516.11,435.14,371.63,303.25,251.60
广西壮族自治区,266.87,223.01,177.42,140.40,108.33,80.34,58.53,46.28,36.03,29.62
海南省,61.65,51.40,42.68,35.51,28.09,20.71,16.20,12.74,9.75,7.67
重庆市,190.58,148.37,117.10,89.89,74.15,54.68,40.30,33.06,27.93,23.15
四川省,576.10,485.52,408.89,342.29,280.95,216.85,157.44,127.53,127.86,89.32
贵州省,207.47,166.28,132.21,106.26,87.81,66.44,49.57,40.23,31.97,30.26
云南省,373.78,318.54,273.79,228.11,185.57,143.99,111.01,93.68,77.78,66.84
西藏自治区,23.01,19.54,15.22,13.09,11.03,9.36,8.49,7.45,5.44,4.06
陕西省,331.66,280.79,230.79,185.39,144.11,105.11,74.27,58.31,46.33,33.77
甘肃省,141.96,114.54,90.17,69.65,52.74,36.56,24.38,18.83,14.90,12.99
青海省,54.10,44.67,35.78,27.48,19.95,14.31,10.79,7.89,6.40,5.27
宁夏回族自治区,77.61,65.33,53.49,41.42,30.94,21.88,15.31,11.90,9.53,8.02
新疆维吾尔自治区,205.60,171.20,142.52,107.37,79.25,58.11,44.17,35.77,29.10,24.97
数据来源：国家统计局
