数据库：分省年度数据
指标：铁路货运量(万吨)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,1135,1097,1237,1387,1578,1717,1836,2005,2055,2063
天津市,8874,8349,7909,7346,7242,11263,12210,11328,8410,6810
河北省,20619,22469,21010,20447,18508,15483,14750,14906,14790,17151
山西省,76411,73181,71428,69194,63530,54743,60152,73032,65438,57366
内蒙古自治区,65165,67288,64682,64669,52069,43084,38357,25382,21393,18167
辽宁省,19154,20566,19803,21577,20689,20316,19141,17752,16306,15029
吉林省,6074,6516,7347,7875,7490,7478,7422,6278,6159,6634
黑龙江省,11777,14561,16591,17678,17717,16744,17795,16891,16069,16123
上海市,549,702,825,888,959,941,1012,1163,1234,1278
江苏省,6376,7157,7670,7713,6812,6563,5575,5826,5823,5655
浙江省,4343,4831,4607,4850,4386,3762,3830,4415,4028,3687
安徽省,10488,11566,12260,12507,12091,11308,12014,11468,11095,10386
福建省,3402,3636,3814,3762,3705,3574,3642,4304,4208,4411
江西省,4934,5217,5562,6046,5677,5570,6046,6483,6090,5532
山东省,20268,22876,23145,23156,21314,19219,17970,16675,15747,15040
河南省,11770,12929,12638,14368,14721,14160,16279,15946,15133,14708
湖北省,4689,5646,5882,6431,6249,6116,6460,6314,5702,5341
湖南省,4753,5169,5677,6321,6094,5736,5892,6410,6250,5879
广东省,9136,9711,9306,8971,8562,7597,7105,7778,7425,8004
广西壮族自治区,6684,6916,6846,6770,9092,8962,8041,7954,6920,5723
海南省,854,960,752,694,542,621,570,687,693,491
重庆市,2054,2475,2328,2191,2279,2263,2203,2358,2204,2055
四川省,8541,8970,8793,9172,8051,7659,7915,8621,8185,7771
贵州省,6317,6461,6665,7219,7991,6956,6683,7288,6826,6168
云南省,4823,5146,5031,5545,5497,4929,5224,5713,5318,5077
西藏自治区,43,72,85,49,30,23,26,12,2,
陕西省,37483,35767,31942,30299,27121,24421,22615,9321,8289,8155
甘肃省,6448,6381,6290,6446,6188,5763,5512,5150,4624,4085
青海省,3608,3784,3784,3634,3095,2701,2310,1772,1407,1325
宁夏回族自治区,6990,8412,8467,7848,6872,5979,4400,3957,3329,2881
新疆维吾尔自治区,7410,7288,6840,6801,6777,6389,6048,5829,5949,5353
注：1993年起铁路货物运输增加行包运量。
数据来源：国家统计局
