数据库：分省年度数据
指标：等级公路里程(万公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,2.18,2.15,2.13,2.12,2.09,2.06,2.01,2.05,2.02,1.45
天津市,1.61,1.57,1.54,1.52,1.48,1.43,1.21,1.15,1.13,1.08
河北省,17.29,16.77,15.54,14.91,14.61,14.28,13.75,13.31,12.74,6.72
山西省,13.71,13.60,13.42,13.10,12.77,12.13,11.42,10.71,9.65,6.78
内蒙古自治区,16.01,15.50,15.10,14.79,14.44,12.22,10.96,9.08,8.38,7.09
辽宁省,10.09,9.60,9.00,8.77,8.48,8.32,8.04,7.65,7.59,5.33
吉林省,8.87,8.66,8.54,8.38,8.10,7.76,7.45,7.10,6.86,4.85
黑龙江省,13.50,13.18,12.93,12.41,11.89,11.45,10.41,9.39,8.35,6.17
上海市,1.29,1.26,1.25,1.21,1.20,1.17,1.15,1.12,1.04,0.81
江苏省,14.98,14.83,14.61,14.41,14.17,13.42,12.93,11.77,10.86,7.50
浙江省,11.37,11.20,11.00,10.79,10.59,10.22,9.73,9.20,8.59,4.62
安徽省,16.96,16.81,15.94,14.34,14.23,13.94,13.47,12.82,12.26,6.71
福建省,8.29,8.09,7.65,7.37,7.07,6.75,6.65,6.33,5.79,4.80
江西省,12.83,12.27,12.03,11.45,10.15,9.22,7.73,7.24,6.67,4.35
山东省,25.84,25.14,24.30,23.14,22.77,22.40,21.71,20.77,19.91,8.01
河南省,19.76,19.68,19.44,19.12,18.26,17.72,17.02,16.49,15.00,7.50
湖北省,22.42,21.29,20.31,19.65,18.78,16.88,15.37,14.72,13.58,7.61
湖南省,21.13,20.66,20.36,19.89,18.40,14.82,11.87,9.15,6.24,4.58
广东省,19.71,18.64,17.72,17.24,17.01,16.02,15.49,15.17,14.77,10.65
广西壮族自治区,10.06,9.63,9.16,8.73,8.12,7.72,7.31,6.29,5.21,5.10
海南省,2.54,2.42,2.35,2.21,2.10,1.45,1.13,0.93,0.83,1.27
重庆市,9.87,9.04,8.68,8.36,7.72,7.04,5.90,5.00,4.19,3.08
四川省,25.70,24.66,23.43,22.09,20.60,18.31,14.08,11.57,8.49,7.93
贵州省,10.76,9.54,8.66,7.96,7.26,6.80,6.40,5.55,4.93,3.54
云南省,18.95,17.84,17.20,16.58,15.81,13.82,12.45,10.48,9.98,11.19
西藏自治区,5.44,4.87,4.18,3.89,3.62,2.61,2.27,1.95,1.59,1.09
陕西省,15.12,14.90,14.63,13.95,13.45,12.85,10.76,9.08,6.08,4.93
甘肃省,11.41,10.68,10.14,9.17,8.57,7.66,5.84,5.07,4.29,3.28
青海省,6.08,5.71,5.21,5.00,4.76,3.97,3.26,3.06,2.46,2.70
宁夏回族自治区,3.11,2.83,2.60,2.39,2.12,2.03,1.94,1.89,1.81,1.30
新疆维吾尔自治区,13.19,12.54,11.89,10.43,9.86,9.16,8.13,7.45,6.99,7.16
数据来源：国家统计局
