数据库：分省年度数据
指标：铁路营业里程(万公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11
天津市,0.10,0.10,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07
河北省,0.63,0.63,0.56,0.52,0.49,0.49,0.49,0.48,0.48,0.47
山西省,0.50,0.38,0.38,0.38,0.38,0.35,0.33,0.31,0.31,0.32
内蒙古自治区,1.02,1.02,0.95,0.92,0.89,0.81,0.68,0.67,0.64,0.62
辽宁省,0.51,0.51,0.50,0.43,0.43,0.42,0.42,0.42,0.42,0.42
吉林省,0.45,0.44,0.44,0.40,0.40,0.39,0.38,0.36,0.36,0.36
黑龙江省,0.60,0.60,0.60,0.59,0.58,0.58,0.58,0.58,0.57,0.57
上海市,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
江苏省,0.27,0.26,0.24,0.24,0.19,0.17,0.17,0.16,0.16,0.16
浙江省,0.23,0.20,0.18,0.18,0.18,0.17,0.13,0.13,0.13,0.13
安徽省,0.35,0.35,0.33,0.31,0.29,0.29,0.29,0.24,0.24,0.24
福建省,0.28,0.27,0.23,0.21,0.21,0.21,0.16,0.16,0.16,0.16
江西省,0.37,0.31,0.28,0.28,0.28,0.27,0.27,0.26,0.24,0.24
山东省,0.50,0.43,0.43,0.42,0.38,0.37,0.36,0.33,0.33,0.33
河南省,0.52,0.49,0.49,0.43,0.43,0.39,0.40,0.40,0.40,0.41
湖北省,0.41,0.39,0.38,0.34,0.34,0.30,0.27,0.26,0.25,0.25
湖南省,0.46,0.40,0.38,0.37,0.37,0.37,0.29,0.29,0.29,0.29
广东省,0.40,0.35,0.28,0.28,0.27,0.25,0.22,0.22,0.22,0.22
广西壮族自治区,0.47,0.40,0.32,0.32,0.32,0.31,0.27,0.27,0.27,0.27
海南省,0.07,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.02,0.02
重庆市,0.18,0.17,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13
四川省,0.40,0.35,0.35,0.35,0.35,0.33,0.30,0.30,0.30,0.30
贵州省,0.24,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20
云南省,0.29,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.23
西藏自治区,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,
陕西省,0.45,0.44,0.41,0.41,0.41,0.33,0.32,0.32,0.32,0.31
甘肃省,0.34,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23
青海省,0.21,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.11
宁夏回族自治区,0.13,0.13,0.13,0.13,0.12,0.09,0.08,0.08,0.08,0.08
新疆维吾尔自治区,0.55,0.47,0.47,0.43,0.42,0.37,0.28,0.28,0.28,0.28
数据来源：国家统计局
